Source;Target;Weight
Dunjashka;Fekla;1
Anuchkin;Dunjashka;1
Anuchkin;Jaichnitsa;8
Dunjashka;Kochkarev;1
ArinaPantelejmonovna;Kochkarev;4
Jaichnitsa;Kochkarev;7
Fekla;Starikov;2
Jaichnitsa;Zhevakin;6
AgafjaTihonovna;Fekla;6
Anuchkin;IvanPavlovich;1
ArinaPantelejmonovna;Dunjashka;1
Fekla;Podkolesin;3
AgafjaTihonovna;Dunjashka;1
Anuchkin;Podkolesin;2
ArinaPantelejmonovna;Fekla;5
IvanPavlovich;Zhevakin;1
Anuchkin;Starikov;2
Fekla;Kochkarev;9
Anuchkin;Kochkarev;6
Devchonka;Jaichnitsa;1
AgafjaTihonovna;Kochkarev;8
Fekla;Jaichnitsa;5
Kochkarev;Zhevakin;6
Fekla;IvanPavlovich;1
AgafjaTihonovna;Zhevakin;4
AgafjaTihonovna;Anuchkin;3
AgafjaTihonovna;ArinaPantelejmonovna;7
Dunjashka;Jaichnitsa;1
ArinaPantelejmonovna;Jaichnitsa;2
Kochkarev;Podkolesin;10
AgafjaTihonovna;Jaichnitsa;4
AgafjaTihonovna;Podkolesin;3
Kochkarev;Starikov;2
Podkolesin;Starikov;1
GolosIzvozchika;Podkolesin;1
Anuchkin;ArinaPantelejmonovna;2
Jaichnitsa;Podkolesin;2
Starikov;Zhevakin;2
Podkolesin;Zhevakin;1
ArinaPantelejmonovna;Starikov;1
ArinaPantelejmonovna;Zhevakin;2
Anuchkin;Zhevakin;4
Anuchkin;Fekla;4
AgafjaTihonovna;Starikov;1
Jaichnitsa;Starikov;2
Fekla;Zhevakin;4
IvanPavlovich;Jaichnitsa;1
Podkolesin;Stepan;4
