Source,Type,Target,Weight
Мелания,Undirected,Алексей,70.0
Донат,Undirected,Алексей,35.0
Донат,Undirected,Мелания,79.0
Тятин,Undirected,Алексей,54.0
Тятин,Undirected,Мелания,98.0
Тятин,Undirected,Донат,63.0
Достигаев,Undirected,Алексей,38.0
Достигаев,Undirected,Мелания,82.0
Достигаев,Undirected,Донат,47.0
Достигаев,Undirected,Тятин,66.0
Булычов,Undirected,Алексей,253.0
Булычов,Undirected,Мелания,297.0
Булычов,Undirected,Донат,262.0
Булычов,Undirected,Тятин,281.0
Булычов,Undirected,Достигаев,265.0
Звонцов,Undirected,Алексей,96.0
Звонцов,Undirected,Мелания,140.0
Звонцов,Undirected,Донат,105.0
Звонцов,Undirected,Тятин,124.0
Звонцов,Undirected,Достигаев,108.0
Звонцов,Undirected,Булычов,323.0
Шура,Undirected,Алексей,129.0
Шура,Undirected,Мелания,173.0
Шура,Undirected,Донат,138.0
Шура,Undirected,Тятин,157.0
Шура,Undirected,Достигаев,141.0
Шура,Undirected,Булычов,356.0
Шура,Undirected,Звонцов,199.0
Павлин,Undirected,Алексей,63.0
Павлин,Undirected,Мелания,107.0
Павлин,Undirected,Донат,72.0
Павлин,Undirected,Тятин,91.0
Павлин,Undirected,Достигаев,75.0
Павлин,Undirected,Булычов,290.0
Павлин,Undirected,Звонцов,133.0
Павлин,Undirected,Шура,166.0
Глафира,Undirected,Алексей,56.0
Глафира,Undirected,Мелания,100.0
Глафира,Undirected,Донат,65.0
Глафира,Undirected,Тятин,84.0
Глафира,Undirected,Достигаев,68.0
Глафира,Undirected,Булычов,283.0
Глафира,Undirected,Звонцов,126.0
Глафира,Undirected,Шура,159.0
Глафира,Undirected,Павлин,93.0
Трубач,Undirected,Алексей,33.0
Трубач,Undirected,Мелания,77.0
Трубач,Undirected,Донат,42.0
Трубач,Undirected,Тятин,61.0
Трубач,Undirected,Достигаев,45.0
Трубач,Undirected,Булычов,260.0
Трубач,Undirected,Звонцов,103.0
Трубач,Undirected,Шура,136.0
Трубач,Undirected,Павлин,70.0
Трубач,Undirected,Глафира,63.0
Мокроусов,Undirected,Алексей,22.0
Мокроусов,Undirected,Мелания,66.0
Мокроусов,Undirected,Донат,31.0
Мокроусов,Undirected,Тятин,50.0
Мокроусов,Undirected,Достигаев,34.0
Мокроусов,Undirected,Булычов,249.0
Мокроусов,Undirected,Звонцов,92.0
Мокроусов,Undirected,Шура,125.0
Мокроусов,Undirected,Павлин,59.0
Мокроусов,Undirected,Глафира,52.0
Мокроусов,Undirected,Трубач,29.0
Антонина,Undirected,Алексей,36.0
Антонина,Undirected,Мелания,80.0
Антонина,Undirected,Донат,45.0
Антонина,Undirected,Тятин,64.0
Антонина,Undirected,Достигаев,48.0
Антонина,Undirected,Булычов,263.0
Антонина,Undirected,Звонцов,106.0
Антонина,Undirected,Шура,139.0
Антонина,Undirected,Павлин,73.0
Антонина,Undirected,Глафира,66.0
