Source;Target;Weight
Ohotnitsy;Ranis;1
Ehion;Kadm;3
PervyjJunosha;VtorojJunosha;1
Kadm;VtorojJunosha;1
Akteon;PervyjJunosha;1
Akteon;Kadm;1
Diana;Krokale;2
Agava;TretijJunosha;1
Akteon;Krokale;1
PervyjPes;VtorojPes;1
Agava;Kadm;2
Kadm;TretijJunosha;1
PervyjPes;TretijPes;1
Akteon;TretijPes;1
TretijPes;VtorojPes;1
Hiale;Ranis;2
Ehion;TretijJunosha;1
Ehion;PervyjJunosha;1
Akteon;PervyjPes;1
Kadm;PervyjJunosha;1
Ehion;VtorojJunosha;1
Akteon;Diana;1
Agava;Ehion;2
Agava;VtorojJunosha;1
Diana;Ranis;2
PervyjJunosha;TretijJunosha;1
Akteon;VtorojJunosha;1
Diana;Hiale;2
Akteon;Hiale;1
Agava;Akteon;1
Krokale;Ranis;2
Diana;Ohotnitsy;1
Akteon;VtorojPes;1
Akteon;Ehion;1
Akteon;TretijJunosha;1
Hiale;Krokale;2
TretijJunosha;VtorojJunosha;1
Agava;PervyjJunosha;1
Akteon;Ranis;1
Krokale;Ohotnitsy;1
Hiale;Ohotnitsy;1
