Source;Target;Weight
Pehterev;Suslov;2
Kaurova;Mirvolin;6
Suslov;SuslovIMirvolin;1
Balagalaev;Velvitskij;3
Balagalaev;SuslovIMirvolin;1
Kaurova;Suslov;6
Pehterev;Velvitskij;1
Gerasim;Karp;1
Alupkin;Naglanovich;1
Alupkin;Kaurova;5
Bespandin;Kaurova;4
Suslov;Velvitskij;2
Balagalaev;Mirvolin;9
Alupkin;Bespandin;4
Kaurova;Velvitskij;2
Karp;Suslov;1
Alupkin;Gerasim;4
SuslovIMirvolin;Velvitskij;1
Balagalaev;Pehterev;2
Karp;Mirvolin;1
Balagalaev;Kaurova;6
Kaurova;Naglanovich;1
Bespandin;Naglanovich;1
Bespandin;SuslovIMirvolin;1
Mirvolin;Pehterev;2
Alupkin;SuslovIMirvolin;1
Balagalaev;Naglanovich;1
Alupkin;Pehterev;2
Kaurova;Pehterev;2
Karp;Kaurova;1
Balagalaev;Gerasim;6
Balagalaev;Karp;1
Alupkin;Suslov;6
Bespandin;Mirvolin;4
Gerasim;SuslovIMirvolin;1
Naglanovich;Suslov;1
Mirvolin;Suslov;7
Alupkin;Mirvolin;8
Mirvolin;SuslovIMirvolin;1
Gerasim;Velvitskij;2
Bespandin;Gerasim;2
Gerasim;Kaurova;3
Kaurova;SuslovIMirvolin;1
Balagalaev;Suslov;7
Gerasim;Mirvolin;5
Naglanovich;Pehterev;1
Mirvolin;Velvitskij;3
Gerasim;Suslov;3
Naglanovich;Velvitskij;1
Bespandin;Suslov;4
Balagalaev;Bespandin;4
Mirvolin;Naglanovich;1
Alupkin;Balagalaev;8
Bespandin;Pehterev;2
Bespandin;Velvitskij;2
Alupkin;Velvitskij;3
