Play,Year_of_creation,Num_of_segments,Num_of_acts,Female_part,Male_part,Max_weight,Max_degree,Density,Num_of_char,Chars_with_max_degree,Average_clust_coef,Genre,
Bulgakov_Dni_Turbinyh,1926,7,4,0.18,0.82,5,19,0.41,29,Uragan|Galanba|Kirpatyj,0.91,other,
Chehov_Chaika,1896,60,4,0.45,0.55,11,11,0.79,12,Arkadina|Shamraev,0.92,comedy,
Chehov_Djadja_Vanja,1897,47,4,0.45,0.55,12,8,0.67,10,Sonja|Astrov,0.8,other,
Chehov_Ivanov,1887,40,4,0.22,0.78,10,13,0.59,17,Lebedev|ZinaidaSavishna|Babakina|AvdotjaNazarovna,0.83,drama,
Chehov_Leshii,1889,47,4,0.34,0.66,11,12,0.9,13,Orlovskij|Julja|FedorIvanovich|Zheltuhin|Djadin,0.94,comedy,
Chehov_Medved,1888,11,11,0.42,0.58,5,2,1.0,3,None,1.0,comedy,
Chehov_Na_bolshoi_doroge,1884,5,0,0.11,0.89,4,10,0.85,11,Merik|Tihon|Bortsov,0.92,other,
Chehov_Noch_pered_sudom,1886,6,0,0.26,0.74,4,3,0.67,4,Zajtsev,0.58,other,
Chehov_Predlozhenie,1888,7,0,0.35,0.65,4,2,1.0,3,None,1.0,comedy,
Chehov_Svadba,1890,1,1,0.26,0.74,1,13,1.0,14,None,1.0,other,
Chehov_Tatjana_Repina,1889,1,1,0.1,0.9,1,27,1.0,28,None,1.0,drama,
Chehov_Tragik_ponevole,1889,1,1,0.0,1.0,1,1,1.0,2,None,0.0,comedy,
Chehov_Tri_sestry,1901,4,4,0.39,0.61,4,13,1.0,14,None,1.0,drama,
Chehov_Vishnevyi_sad,1904,4,4,0.45,0.55,4,13,0.98,14,Dunjasha|Anja|Sharlotta|Lopahin|Jasha|Trofimov|Epihodov|Gaev|LjubovAndreevna|Varja|Firs,0.98,comedy,
Fonvizin_Brigadir,1772,30,5,0.34,0.66,14,7,0.96,8,Brigadir|Syn|Sovetnik|Sovetnitsa|Sofja|Brigadirsha,0.96,comedy,
Fonvizin_Nedorosl,1782,40,5,0.29,0.71,13,12,0.66,15,Starodum|GospozhaProstakova|Pravdin|Mitrofan,0.85,comedy,
Gogol_Lakeiskaja,1842,8,0,0.09,0.91,4,10,0.32,12,Grigorij,0.75,other,
Gogol_Otryvok,1842,2,0,0.5,0.5,1,3,0.67,4,MarjaAleksandrovna,0.58,other,
Gogol_Revizor,1836,53,5,0.18,0.82,12,27,0.47,33,Gorodnichij,0.84,comedy,
Gogol_Teatralnyi_razezd_posle_predstavlenija_novoi_komedii,1842,34,0,0.1,0.9,3,10,0.16,26,PervyjOfitser|VtorojOfitser,0.63,other,
Gogol_Tjazhba,1842,4,0,0.0,1.0,1,2,0.67,3,Proletov,0.0,other,
Gogol_Utro_delovogo_cheloveka,1836,5,0,0.05,0.95,3,4,0.5,5,IvanPetrovich,0.43,other,
Gogol_Zhenitba,1842,46,2,0.33,0.67,10,11,0.53,14,Jaichnitsa,0.66,comedy,
Gorkij_Egor_Bulychov_i_drugie,1932,3,3,0.31,0.69,3,21,0.88,22,Pavlin|Glafira|Bulychov|Zvontsov|Shura|Bashkin|Varvara|Ksenija,0.93,other,
Gorkij_Na_dne,1902,4,4,0.21,0.79,3,16,0.93,17,Baron|Kvashnja|Luka|Medvedev|Bubnov|Nastja|Kostylev,0.97,other,
Majakovskij_Banja,1930,6,6,0.16,0.84,6,21,0.69,22,Mezaljansova|Velosipedkin,0.89,drama,
Ostrovskij_Bednost_ne_porok,1853,37,3,0.41,0.59,9,17,0.84,18,Razljuljaev|Mitja|PelagejaEgorovna,0.92,comedy,
Ostrovskij_Bespridannitsa,1878,44,4,0.27,0.73,14,10,0.98,11,Paratov|Ogudalova|Karandyshev|Robinzon|Vozhevatov|Ivan|Ilja|Knurov|Larisa,0.98,drama,
Ostrovskij_Groza,1859,34,5,0.43,0.57,12,20,0.37,23,Kabanova,0.83,drama,
Ostrovskij_Snegurochka,1873,28,5,0.39,0.61,8,34,0.23,47,Snegurochka,0.85,other,
Ostrovskij_Svoi_ljudi_-_sochtemsja,1850,35,4,0.42,0.58,10,7,1.0,8,None,1.0,comedy,
Ostrovskij_Volki_i_ovtsy,1875,53,5,0.48,0.52,8,9,0.69,11,Kupavina|Lynjaev|Chugunov|Berkutov,0.84,comedy,
Pushkin_Kamenniy_gost,1839,4,0,0.3,0.7,3,10,0.53,11,DonGuan,0.92,other,
Pushkin_Pir_vo_vremja_chumy,1832,2,0,0.24,0.76,2,6,0.71,7,Mnogie|Predsedatel,0.89,other,
Pushkin_Rusalka,1837,5,0,0.43,0.57,2,16,0.36,19,Knjaz,0.91,other,
Pushkin_Skupoj_rytsar,1836,3,0,0.0,1.0,1,4,0.6,5,Alber,0.87,other,
Pushkin_Stseny_iz_rytsarskih_vremen,1837,14,0,0.11,0.89,5,21,0.4,23,Frants,0.76,other,
Blok_-_Balaganchik,1906,13,0,0.2,0.8,2,5,0.14,15,Pero,0.56,drama,
Blok_-_Korol_na_ploschadi,1907,23,3,0.19,0.81,4,12,0.16,29,GolosaVTolpe,0.66,drama,
Blok_-_Neznakomka,1907,3,0,0.26,0.74,2,29,0.57,30,Poet,0.92,drama,
Chehov_-_Jubilej,1892,7,0,0.37,0.63,4,4,0.9,5,TatjanaAlekseevna|Merchutkina|Shipuchin,0.9,comedy,
Gumilyov_-_Akteon,1913,8,0,0.28,0.72,3,13,0.39,15,Akteon,0.93,other,
Gumilyov_-_Ditja_Allaha,1917,3,0,0.27,0.73,3,19,0.56,20,Dervish|Peri,0.91,other,
Gumilyov_-_Don-Zhuan_v_Egipte,1911,3,0,0.2,0.8,2,3,1.0,4,None,1.0,other,
Gumilyov_-_Gondla,1917,24,4,0.19,0.81,10,7,1.0,8,None,1.0,other,
Krylov_-_Amerikantsy,1778,25,2,0.34,0.66,11,8,0.58,10,Atsem|Elvira,0.84,other,
Krylov_-_Podschipa_ili_Trumf,1800,21,2,0.36,0.64,7,7,0.89,8,Sljunjaj|Vakula|Podschipa|Durduran,0.93,other,
Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka,1800,23,3,0.32,0.68,9,10,0.84,11,Vse|Zhaneta|Blez|Zhuleta|Nineta,0.91,other,
Plavil'schikov_-_Sgovor_Kutejkina,1789,12,0,0.16,0.84,5,10,0.8,11,Eremeevna|Preslep,0.91,comedy,
Prutkov_-_Chereposlov_sirech_Frenolog,1860,3,0,0.23,0.77,3,8,1.0,9,None,1.0,other,
Prutkov_-_Spor_drevnih_grecheskih_filosofov_ob_izjaschnom,1854,1,0,0.0,1.0,1,1,1.0,2,None,0.0,drama,
Pushkin_-_Boris_Godunov,1831,22,0,0.1,0.9,3,29,0.11,77,Tsar_Boris,0.89,other,
Sumarokov_-_Dimitrij_Samozvanets,1771,36,5,0.2,0.8,9,5,0.73,6,Dimitrij,0.77,tragedy,
