Play,Num_of_char,Year_of_creation
Blok_-_Balaganchik,17,1906
Blok_-_Korol_na_ploschadi,31,1906
Blok_-_Neznakomka,31,1906
Bulgakov_Dni_Turbinyh,32,1925
Chehov_Chaika,12,1896
Chehov_Djadja_Vanja,10,1896
Chehov_Ivanov,18,1887
Chehov_Leshii,14,1889
Chehov_Medved,3,1888
Chehov_Na_bolshoi_doroge,11,1884
Chehov_Noch_pered_sudom,4,1884
Chehov_Predlozhenie,15,1888
Chehov_Svadba,28,1889
Chehov_Tatjana_Repina,2,1889
Chehov_Tragik_ponevole,14,1889
Chehov_Tri_sestry,14,1900
Chehov_Vishnevyi_sad,8,1903
Fonvizin_Brigadir,16,1769
Fonvizin_Nedorosl,12,1782
Gogol_Lakeiskaja,4,1834
Gogol_Otryvok,3,1840
Gogol_Revizor,39,1836
Gogol_Teatralnyi_razezd_posle_predstavlenija_novoi_komedii,88,1836
Gogol_Tjazhba,3,1836
Gogol_Utro_delovogo_cheloveka,5,1836
Gogol_Zhenitba,15,1835
Gorkij_Egor_Bulychov_i_drugie,22,1932
Gorkij_Na_dne,18,1902
Gumilyov_-_Akteon,17,1913
Gumilyov_-_Ditja_Allaha,20,1916
Gumilyov_-_Don-Zhuan_v_Egipte,4,1911
Gumilyov_-_Gondla,9,1917
Krylov_-_Podschipa_ili_Trumf,8,1800
Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka,21,1798
Ostrovskij_Bednost_ne_porok,19,1853
Ostrovskij_Bespridannitsa,14,1878
Ostrovskij_Groza,23,1859
Ostrovskij_Snegurochka,0,1873
Ostrovskij_Svoi_ljudi_â€”_sochtemsja,8,1849
Ostrovskij_Volki_i_ovtsy,19,1875
Prutkov_-_Chereposlov_sirech_Frenolog,15,1860
Prutkov_-_Spor_drevnih_grecheskih_filosofov_ob_izjaschnom,2,1854
Pushkin_-_Boris_Godunov,75,1825
Pushkin_-_Kamennyj_gost,14,1830
Pushkin_-_Skupoj_rytsar,5,1830
Sumarokov_-_Dimitrij_Samozvanets,6,1770
Sumarokov_-_Horev,12,1747
Sumarokov_-_Semira,11,
Tolstoy_A_-_Blondy,4,1854
