Source;Type;Target;Weight
Hruschov;Undirected;Zheltuhin;4
Julja;Undirected;Zheltuhin;9
Hruschov;Undirected;Serebrjakov;6
Djadin;Undirected;Vasilij;1
Hruschov;Undirected;Orlovskij;6
Semen;Undirected;Serebrjakov;1
Hruschov;Undirected;Sonja;8
FedorIvanovich;Undirected;Hruschov;3
Hruschov;Undirected;Julja;6
MarjaVasilevna;Undirected;Vojnitskij;4
Julja;Undirected;Vojnitskij;6
ElenaAndreevna;Undirected;FedorIvanovich;4
Julja;Undirected;MarjaVasilevna;2
Julja;Undirected;Semen;3
Djadin;Undirected;Julja;11
Orlovskij;Undirected;Vojnitskij;11
Djadin;Undirected;MarjaVasilevna;3
Julja;Undirected;Vasilij;1
FedorIvanovich;Undirected;Zheltuhin;5
Hruschov;Undirected;Vojnitskij;2
Julja;Undirected;Orlovskij;10
Orlovskij;Undirected;Zheltuhin;10
ElenaAndreevna;Undirected;Zheltuhin;3
Djadin;Undirected;Vojnitskij;5
Djadin;Undirected;ElenaAndreevna;5
ElenaAndreevna;Undirected;Sonja;5
ElenaAndreevna;Undirected;Vojnitskij;9
FedorIvanovich;Undirected;Serebrjakov;4
ElenaAndreevna;Undirected;Orlovskij;5
FedorIvanovich;Undirected;Julja;7
Vojnitskij;Undirected;Zheltuhin;7
Sonja;Undirected;Vojnitskij;4
MarjaVasilevna;Undirected;Zheltuhin;3
Semen;Undirected;Zheltuhin;1
Djadin;Undirected;Orlovskij;11
Djadin;Undirected;Serebrjakov;6
ElenaAndreevna;Undirected;Semen;1
Julja;Undirected;Serebrjakov;5
ElenaAndreevna;Undirected;Julja;3
Vasilij;Undirected;Vojnitskij;1
Djadin;Undirected;Zheltuhin;6
Orlovskij;Undirected;Semen;1
FedorIvanovich;Undirected;Sonja;6
Djadin;Undirected;Hruschov;7
Serebrjakov;Undirected;Sonja;6
MarjaVasilevna;Undirected;Orlovskij;4
Djadin;Undirected;Semen;2
FedorIvanovich;Undirected;Vojnitskij;9
Orlovskij;Undirected;Vasilij;1
Julja;Undirected;Sonja;8
MarjaVasilevna;Undirected;Sonja;2
FedorIvanovich;Undirected;MarjaVasilevna;2
Hruschov;Undirected;Semen;2
Orlovskij;Undirected;Serebrjakov;8
MarjaVasilevna;Undirected;Serebrjakov;5
Hruschov;Undirected;MarjaVasilevna;1
Serebrjakov;Undirected;Zheltuhin;5
FedorIvanovich;Undirected;Orlovskij;11
Vasilij;Undirected;Zheltuhin;1
Djadin;Undirected;Sonja;8
FedorIvanovich;Undirected;Vasilij;1
ElenaAndreevna;Undirected;Serebrjakov;10
Semen;Undirected;Sonja;1
Serebrjakov;Undirected;Vojnitskij;6
ElenaAndreevna;Undirected;MarjaVasilevna;3
FedorIvanovich;Undirected;Semen;1
Djadin;Undirected;FedorIvanovich;6
ElenaAndreevna;Undirected;Hruschov;6
Orlovskij;Undirected;Sonja;9
Sonja;Undirected;Zheltuhin;4
