Source;Type;Target;Weight
Solenyj;Undirected;Tuzenbah;4
Ferapont;Undirected;Natasha;4
Andrej;Undirected;Fedotik;4
Anfisa;Undirected;Rode;3
Natasha;Undirected;Tuzenbah;4
Anfisa;Undirected;Solenyj;4
Olga;Undirected;Solenyj;4
Andrej;Undirected;Vershinin;4
Andrej;Undirected;Irina;4
Olga;Undirected;Vershinin;4
Irina;Undirected;Kulygin;4
Anfisa;Undirected;Vershinin;4
Anfisa;Undirected;Tuzenbah;4
Masha;Undirected;Vershinin;4
Natasha;Undirected;Olga;4
Irina;Undirected;Natasha;4
Ferapont;Undirected;Vershinin;4
Chebutykin;Undirected;Ferapont;4
Irina;Undirected;Solenyj;4
Anfisa;Undirected;Ferapont;4
Andrej;Undirected;Natasha;4
Anfisa;Undirected;Natasha;4
Natasha;Undirected;Vershinin;4
Masha;Undirected;Solenyj;4
Fedotik;Undirected;Olga;4
Andrej;Undirected;Masha;4
Ferapont;Undirected;Olga;4
Anfisa;Undirected;Olga;4
Kulygin;Undirected;Natasha;4
Fedotik;Undirected;Kulygin;4
Rode;Undirected;Tuzenbah;3
Chebutykin;Undirected;Rode;3
Chebutykin;Undirected;Irina;4
Andrej;Undirected;Rode;3
Rode;Undirected;Solenyj;3
Masha;Undirected;Natasha;4
Chebutykin;Undirected;Solenyj;4
Anfisa;Undirected;Fedotik;4
Chebutykin;Undirected;Fedotik;4
Masha;Undirected;Olga;4
Fedotik;Undirected;Ferapont;4
Irina;Undirected;Rode;3
Anfisa;Undirected;Kulygin;4
Irina;Undirected;Masha;4
Ferapont;Undirected;Kulygin;4
Chebutykin;Undirected;Vershinin;4
Natasha;Undirected;Rode;3
Andrej;Undirected;Solenyj;4
Chebutykin;Undirected;Kulygin;4
Chebutykin;Undirected;Natasha;4
Andrej;Undirected;Olga;4
Kulygin;Undirected;Vershinin;4
Natasha;Undirected;Solenyj;4
Fedotik;Undirected;Natasha;4
Fedotik;Undirected;Tuzenbah;4
Anfisa;Undirected;Irina;4
Ferapont;Undirected;Rode;3
Andrej;Undirected;Kulygin;4
Fedotik;Undirected;Rode;3
Fedotik;Undirected;Vershinin;4
Rode;Undirected;Vershinin;3
Masha;Undirected;Tuzenbah;4
Olga;Undirected;Rode;3
Solenyj;Undirected;Vershinin;4
Anfisa;Undirected;Masha;4
Anfisa;Undirected;Chebutykin;4
Irina;Undirected;Vershinin;4
Chebutykin;Undirected;Olga;4
Kulygin;Undirected;Olga;4
Fedotik;Undirected;Solenyj;4
Fedotik;Undirected;Masha;4
Andrej;Undirected;Tuzenbah;4
Kulygin;Undirected;Rode;3
Masha;Undirected;Rode;3
Ferapont;Undirected;Solenyj;4
Ferapont;Undirected;Tuzenbah;4
Andrej;Undirected;Anfisa;4
Kulygin;Undirected;Tuzenbah;4
Chebutykin;Undirected;Tuzenbah;4
Irina;Undirected;Tuzenbah;4
Ferapont;Undirected;Masha;4
Andrej;Undirected;Ferapont;4
Tuzenbah;Undirected;Vershinin;4
Olga;Undirected;Tuzenbah;4
Kulygin;Undirected;Solenyj;4
Andrej;Undirected;Chebutykin;4
Fedotik;Undirected;Irina;4
Kulygin;Undirected;Masha;4
Chebutykin;Undirected;Masha;4
Irina;Undirected;Olga;4
Ferapont;Undirected;Irina;4
