Source;Type;Target;Weight
DrugojChinovnik;Undirected;Pervyj;1
Tretij;Undirected;VtorojCommeIlFaut;1
GospodinNeskolkobezzabotnyjNaschetliteratury;Undirected;OtstavshijChinovnik;1
GolosVNarode;Undirected;PervajaBekesha;1
Kupets;Undirected;RaznyeGolosa;1
RaznyeGolosa;Undirected;SvetskijChelovekSchegolevatoodetyj;1
Dvebekeshi;Undirected;GolosVNarode;1
OdinIzNaroda;Undirected;PervajaBekesha;1
MuzhPervojDamy;Undirected;Odinizdvuhzritelej;1
SvetskajaDama;Undirected;VtorojGospodin;1
Kupets;Undirected;OchenSkromnoOdetyjChelovek;1
DrugojOfitser;Undirected;GospodinDobrodushnogoSvojstva;1
GolosKuptsa;Undirected;PervajaBekesha;1
Chinovniksrednihlet;Undirected;NeizvestnyjGolos;1
DrugajaBekesha;Undirected;Muzhchinavofrake;1
GospodinNizenkijINevzrachnyjNojadovitogoSvojstva;Undirected;GospodinOtritsatelnogoSvojstva;1
ChinovnikRazgovorchivogoSvojstva;Undirected;SvetskajaDama;1
GospodinB;Undirected;Muzhchinavofrake;1
EscheLiterator;Undirected;GospodinSVesom;1
Ofitser;Undirected;OtstavshijChinovnik;1
GolosserditogoChinovnikaNoKakvidnoOpytnogo;Undirected;GospodaHoroshoOdetye;1
GospodinNeskolkobezzabotnyjNaschetliteratury;Undirected;MolodajaDama;1
GospodinSDrugojStoronyGruppy;Undirected;Kupets;1
ChinovnikVazhnojNaruzhnosti;Undirected;Statskij;1
GospodinDobrodushnogoSvojstva;Undirected;GospodinNeskolkobezzabotnyjNaschetliteratury;1
GospodinA;Undirected;№;1
EscheLiterator;Undirected;KnjazN;1
Kupets;Undirected;MuzhchinaVMundire;1
AvtorPesy;Undirected;TretijGospodin;1
Avtor;Undirected;OdinIzGospod;1
GospodinN;Undirected;Odin;1
ChinovnikRazgovorchivogoSvojstva;Undirected;Tretij;1
GospodinB;Undirected;GospodinOtritsatelnogoSvojstva;1
GospodinNizenkijINevzrachnyjNojadovitogoSvojstva;Undirected;NeizvestnyjGolos;1
GolosKuptsa;Undirected;Pjatyj;1
GolosVNarode;Undirected;Tretij;1
GospodinB;Undirected;GospodinNizenkijINevzrachnyjNojadovitogoSvojstva;1
Pervyj;Undirected;Voennyj;1
NeznakomyjSosed;Undirected;ProstoVral;1
GospodinSDrugojStoronyGruppy;Undirected;TretijGospodin;1
DrugojOfitser;Undirected;TretijGospodin;1
MuzhPervojDamy;Undirected;PervajaDama;1
OdinChinovnik;Undirected;TretijGospodin;1
Pjatyj;Undirected;Tretij;1
GospodinA;Undirected;RaznyeGolosa;1
