Source;Type;Target;Weight
Anuchkin;Undirected;IvanPavlovich;1
ArinaPantelejmonovna;Undirected;Fekla;5
Anuchkin;Undirected;Dunjashka;1
Jaichnitsa;Undirected;Starikov;2
Jaichnitsa;Undirected;Kochkarev;7
Kochkarev;Undirected;Zhevakin;6
Anuchkin;Undirected;Jaichnitsa;8
Starikov;Undirected;Zhevakin;2
Fekla;Undirected;Podkolesin;3
AgafjaTihonovna;Undirected;Dunjashka;1
Fekla;Undirected;Jaichnitsa;5
Podkolesin;Undirected;Starikov;1
IvanPavlovich;Undirected;Zhevakin;1
Anuchkin;Undirected;Podkolesin;2
Dunjashka;Undirected;Jaichnitsa;1
Dunjashka;Undirected;Fekla;1
Kochkarev;Undirected;Starikov;2
Kochkarev;Undirected;Podkolesin;10
Jaichnitsa;Undirected;Zhevakin;6
ArinaPantelejmonovna;Undirected;Jaichnitsa;2
AgafjaTihonovna;Undirected;Anuchkin;3
Devchonka;Undirected;Jaichnitsa;1
AgafjaTihonovna;Undirected;Podkolesin;3
AgafjaTihonovna;Undirected;Fekla;6
AgafjaTihonovna;Undirected;Starikov;1
Anuchkin;Undirected;Zhevakin;4
Fekla;Undirected;Starikov;2
AgafjaTihonovna;Undirected;Zhevakin;4
AgafjaTihonovna;Undirected;Kochkarev;8
AgafjaTihonovna;Undirected;ArinaPantelejmonovna;7
Anuchkin;Undirected;Fekla;4
ArinaPantelejmonovna;Undirected;Starikov;1
Fekla;Undirected;Zhevakin;4
AgafjaTihonovna;Undirected;Jaichnitsa;4
Fekla;Undirected;IvanPavlovich;1
Podkolesin;Undirected;Stepan;4
Fekla;Undirected;Kochkarev;9
Podkolesin;Undirected;Zhevakin;1
Jaichnitsa;Undirected;Podkolesin;2
Anuchkin;Undirected;ArinaPantelejmonovna;2
Anuchkin;Undirected;Kochkarev;6
Anuchkin;Undirected;Starikov;2
Dunjashka;Undirected;Kochkarev;1
ArinaPantelejmonovna;Undirected;Kochkarev;4
IvanPavlovich;Undirected;Jaichnitsa;1
GolosIzvozchika;Undirected;Podkolesin;1
ArinaPantelejmonovna;Undirected;Dunjashka;1
ArinaPantelejmonovna;Undirected;Zhevakin;2
