Source;Type;Target;Weight
Myshlaevskij;Undirected;Nikolka;5
Kirpatyj;Undirected;Myshlaevskij;1
Bolbotun;Undirected;Galanba;1
Galanba;Undirected;Kirpatyj;2
Maksim;Undirected;Pervyjofitser;1
Aleksej;Undirected;Lariosik;2
Telefonist;Undirected;Uragan;1
Nikolka;Undirected;Vtorojofitser;1
Nikolka;Undirected;Pervyjjunker;1
Kirpatyj;Undirected;Pervyjofitser;1
Pervyjofitser;Undirected;Tretijjunker;1
Aleksej;Undirected;Galanba;1
Lariosik;Undirected;Myshlaevskij;4
Nikolka;Undirected;Shervinskij;3
Elena;Undirected;Nikolka;4
Maksim;Undirected;Vtorojjunker;1
Pervyjofitser;Undirected;Tretijofitser;1
Aleksej;Undirected;Studzinskij;2
Kirpatyj;Undirected;Vtorojjunker;1
Pervyjofitser;Undirected;Uragan;1
Pervyjjunker;Undirected;Vtorojofitser;1
Aleksej;Undirected;Elena;2
Lakej;Undirected;Vrach;1
Aleksej;Undirected;Tretijofitser;1
Myshlaevskij;Undirected;Pervyjofitser;1
Chelovekskorzinoj;Undirected;Telefonist;1
Chelovekskorzinoj;Undirected;Galanba;1
Kirpatyj;Undirected;Uragan;2
Dezertir;Undirected;Kirpatyj;1
Tretijjunker;Undirected;Uragan;1
Elena;Undirected;Lariosik;4
Aleksej;Undirected;Pervyjofitser;1
Galanba;Undirected;Golosa;1
Galanba;Undirected;Maksim;1
Dezertir;Undirected;Golosa;1
Pervyjjunker;Undirected;Uragan;1
Aleksej;Undirected;Uragan;1
Maksim;Undirected;Pervyjjunker;1
Golosa;Undirected;Uragan;1
Kirpatyj;Undirected;Vtorojofitser;1
Tretijjunker;Undirected;Vtorojofitser;1
Galanba;Undirected;Studzinskij;1
Elena;Undirected;Talberg;2
Junkera;Undirected;Nikolka;1
Myshlaevskij;Undirected;Tretijjunker;1
Junkera;Undirected;Pervyjjunker;1
Bolbotun;Undirected;Dezertir;1
Aleksej;Undirected;Shervinskij;1
Kirpatyj;Undirected;Studzinskij;1
Maksim;Undirected;Tretijofitser;1
