Source;Type;Target;Weight
Babakina;Undirected;Shabelskij;3
AnnaPetrovna;Undirected;Ivanov;3
Kosyh;Undirected;PerviyGost;2
Baryshni;Undirected;Ivanov;1
Babakina;Undirected;PerviyGost;2
VtorojGost;Undirected;ZinaidaSavishna;1
Kosyh;Undirected;Lvov;2
Ivanov;Undirected;Shabelskij;6
Egorushka;Undirected;Kosyh;1
Sasha;Undirected;TretijGost;1
Kosyh;Undirected;Lebedev;3
AnnaPetrovna;Undirected;Shabelskij;3
TretijGost;Undirected;VtorojGost;1
PerviyGost;Undirected;ZinaidaSavishna;2
Babakina;Undirected;Lebedev;4
Babakina;Undirected;Sasha;3
Borkin;Undirected;Lebedev;5
Ivanov;Undirected;Sasha;10
Baryshni;Undirected;Sasha;1
Baryshni;Undirected;Shabelskij;1
Lebedev;Undirected;Lvov;2
Borkin;Undirected;Kosyh;1
Kosyh;Undirected;VtorojGost;1
Borkin;Undirected;Sasha;3
Egorushka;Undirected;VtorojGost;1
Baryshni;Undirected;Borkin;1
Ivanov;Undirected;Lvov;6
AvdotjaNazarovna;Undirected;Lebedev;4
Borkin;Undirected;Lvov;3
AvdotjaNazarovna;Undirected;Egorushka;1
Ivanov;Undirected;ZinaidaSavishna;3
Babakina;Undirected;Lvov;1
Ivanov;Undirected;Lebedev;6
Lvov;Undirected;Shabelskij;6
AvdotjaNazarovna;Undirected;Lvov;1
Sasha;Undirected;Shabelskij;4
Babakina;Undirected;Borkin;1
Egorushka;Undirected;ZinaidaSavishna;1
Kosyh;Undirected;Shabelskij;1
Babakina;Undirected;ZinaidaSavishna;5
Babakina;Undirected;VtorojGost;1
Egorushka;Undirected;PerviyGost;1
GolosaVZale;Undirected;Ivanov;1
AvdotjaNazarovna;Undirected;Ivanov;1
Babakina;Undirected;TretijGost;3
Borkin;Undirected;Ivanov;8
AvdotjaNazarovna;Undirected;VtorojGost;1
Kosyh;Undirected;ZinaidaSavishna;2
Borkin;Undirected;ZinaidaSavishna;1
Sasha;Undirected;ZinaidaSavishna;4
GolosaVZale;Undirected;Lebedev;1
PerviyGost;Undirected;VtorojGost;1
AnnaPetrovna;Undirected;Lvov;3
Babakina;Undirected;Ivanov;1
Babakina;Undirected;Kosyh;3
AvdotjaNazarovna;Undirected;PerviyGost;4
Shabelskij;Undirected;ZinaidaSavishna;3
AvdotjaNazarovna;Undirected;Sasha;1
Baryshni;Undirected;Lebedev;1
Kosyh;Undirected;Sasha;1
Lebedev;Undirected;PerviyGost;1
PerviyGost;Undirected;TretijGost;2
Lebedev;Undirected;Sasha;7
AvdotjaNazarovna;Undirected;Shabelskij;1
Baryshni;Undirected;ZinaidaSavishna;1
Lebedev;Undirected;Shabelskij;8
Lebedev;Undirected;TretijGost;2
Kosyh;Undirected;TretijGost;2
AnnaPetrovna;Undirected;Borkin;2
Babakina;Undirected;Egorushka;1
AvdotjaNazarovna;Undirected;Borkin;2
Borkin;Undirected;Shabelskij;7
AvdotjaNazarovna;Undirected;Kosyh;2
Lvov;Undirected;Sasha;1
Lebedev;Undirected;ZinaidaSavishna;5
AvdotjaNazarovna;Undirected;Babakina;3
TretijGost;Undirected;ZinaidaSavishna;3
Egorushka;Undirected;TretijGost;1
AvdotjaNazarovna;Undirected;ZinaidaSavishna;3
AvdotjaNazarovna;Undirected;TretijGost;3
