Source;Type;Target;Weight
Odinrytsar;Undirected;Vassaly;1
Odinizrytsarej;Undirected;Rytsari;2
Drugoj;Undirected;Odiniznih;1
Kosari;Undirected;Rytsari;1
Drugoj;Undirected;Rytsari;3
Frants;Undirected;Odiniznih;1
Alber;Undirected;Rytsari;3
Kosari;Undirected;Odinrytsar;1
Alber;Undirected;Odinrytsar;2
Drugoj;Undirected;Kosari;1
Rotenfeld;Undirected;Rytsari;3
Frants;Undirected;Karl;1
Drugoj;Undirected;Frants;3
Frants;Undirected;Rytsari;3
Drugoj;Undirected;Klotilda;1
Odiniznih;Undirected;Rotenfeld;1
Klotilda;Undirected;Odinizrytsarej;1
Alber;Undirected;Klotilda;3
Odinrytsar;Undirected;Rytsari;2
Klotilda;Undirected;Rytsari;1
Odiniznih;Undirected;Rytsari;1
Kosari;Undirected;Rotenfeld;1
Klotilda;Undirected;Rotenfeld;1
Alber;Undirected;Frants;5
Alber;Undirected;Kosari;1
Frants;Undirected;Graf;1
Alber;Undirected;Odinizrytsarej;2
Bertold;Undirected;Frants;1
Odiniznih;Undirected;Rytsar;1
Alber;Undirected;Graf;1
Drugoj;Undirected;Rotenfeld;3
Berta;Undirected;Klotilda;1
Frants;Undirected;Rotenfeld;3
Odiniznih;Undirected;Odinizrytsarej;1
Odinizrytsarej;Undirected;Rytsar;2
Frants;Undirected;Odinizrytsarej;2
Rytsar;Undirected;Rytsari;2
Odinizrytsarej;Undirected;Vassaly;1
Klotilda;Undirected;Rytsar;1
Frants;Undirected;Kosari;2
Odinizrytsarej;Undirected;Odinrytsar;1
Odinrytsar;Undirected;Rotenfeld;2
Drugoj;Undirected;Odinrytsar;2
Frants;Undirected;Klotilda;2
Rytsari;Undirected;Vassaly;2
Frants;Undirected;Rytsar;2
Rytsar;Undirected;Vassaly;1
Frants;Undirected;Odinrytsar;2
Klotilda;Undirected;Odinrytsar;1
Kosari;Undirected;Vassaly;1
Bertold;Undirected;Martyn;2
Rotenfeld;Undirected;Vassaly;2
Alber;Undirected;Rotenfeld;3
Drugoj;Undirected;Rytsar;2
Drugoj;Undirected;Vassaly;2
Alber;Undirected;Odiniznih;1
Odinizrytsarej;Undirected;Rotenfeld;2
Graf;Undirected;Klotilda;1
Alber;Undirected;Drugoj;3
Frants;Undirected;Vassaly;2
Odinrytsar;Undirected;Rytsar;1
Frants;Undirected;Martyn;1
Drugoj;Undirected;Odinizrytsarej;2
Rotenfeld;Undirected;Rytsar;2
Odiniznih;Undirected;Vassaly;1
Alber;Undirected;Rytsar;2
Alber;Undirected;Vassaly;2
