Source;Type;Target;Weight
Maksim;Undirected;Studzinskij;1
Telefonist;Undirected;Uragan;1
Kirpatyj;Undirected;Maksim;1
Aleksej;Undirected;Elena;2
Aleksej;Undirected;VtorojOfitser;1
Myshlaevskij;Undirected;Nikolka;5
Galanba;Undirected;Junkera;1
Galanba;Undirected;VtorojJunker;1
Getman;Undirected;Shratt;1
Maksim;Undirected;TretijJunker;1
Shervinskij;Undirected;Talberg;1
Getman;Undirected;Lakej;1
Junkera;Undirected;PervyjOfitser;1
Kirpatyj;Undirected;Nikolka;1
Myshlaevskij;Undirected;VtorojOfitser;1
TretijOfitser;Undirected;VtorojOfitser;1
Kirpatyj;Undirected;Studzinskij;1
Myshlaevskij;Undirected;TretijJunker;1
Lakej;Undirected;Shervinskij;1
Myshlaevskij;Undirected;PervyjJunker;1
Dust;Undirected;Lakej;1
Nikolka;Undirected;Studzinskij;4
PervyjJunker;Undirected;VtorojOfitser;1
Kirpatyj;Undirected;Telefonist;1
PervyjOfitser;Undirected;VtorojOfitser;1
Nikolka;Undirected;VtorojJunker;1
Dust;Undirected;Vrach;1
Aleksej;Undirected;Junkera;1
Galanba;Undirected;PervyjOfitser;1
Lariosik;Undirected;Myshlaevskij;4
Studzinskij;Undirected;VtorojOfitser;1
PervyjJunker;Undirected;TretijOfitser;1
Junkera;Undirected;Maksim;1
Aleksej;Undirected;Galanba;1
Bolbotun;Undirected;Kirpatyj;1
Galanba;Undirected;Studzinskij;1
Dust;Undirected;Getman;1
Aleksej;Undirected;Shervinskij;1
PervyjOfitser;Undirected;TretijJunker;1
PervyjJunker;Undirected;TretijJunker;1
Junkera;Undirected;Nikolka;1
Lariosik;Undirected;Nikolka;4
Dezertir;Undirected;Telefonist;1
Nikolka;Undirected;Talberg;2
Myshlaevskij;Undirected;TretijOfitser;1
ChelovekSKorzinoj;Undirected;Kirpatyj;1
Lariosik;Undirected;Talberg;2
TretijJunker;Undirected;TretijOfitser;1
Myshlaevskij;Undirected;PervyjOfitser;1
Dust;Undirected;Shervinskij;1
TretijOfitser;Undirected;VtorojJunker;1
Aleksej;Undirected;Talberg;1
