"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Djadin";1,25555555555556;0,0833333333333333;71;12;12;0,897435897435897
"2";"Sonja";0,222222222222222;0,0769230769230769;61;11;13;0,897435897435897
"3";"Vojnitskij";0,833333333333333;0,0769230769230769;64;11;13;0,897435897435897
"4";"Orlovskij";1,25555555555556;0,0833333333333333;87;12;12;0,897435897435897
"5";"Julja";1,25555555555556;0,0833333333333333;71;12;12;0,897435897435897
"6";"MarjaVasilevna";0;0,0714285714285714;29;10;14;0,897435897435897
"7";"ElenaAndreevna";0,222222222222222;0,0769230769230769;54;11;13;0,897435897435897
"8";"FedorIvanovich";1,25555555555556;0,0833333333333333;59;12;12;0,897435897435897
"9";"Semen";0;0,0666666666666667;13;9;15;0,897435897435897
"10";"Serebrjakov";0,222222222222222;0,0769230769230769;62;11;13;0,897435897435897
"11";"Hruschov";0,222222222222222;0,0769230769230769;51;11;13;0,897435897435897
"12";"Vasilij";0;0,0555555555555556;6;6;18;0,897435897435897
"13";"Zheltuhin";1,25555555555556;0,0833333333333333;58;12;12;0,897435897435897
