"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Fekla";15,2872294372294;0,0434782608695652;41;12;23;0,392156862745098
"2";"Dunjashka";1,29545454545455;0,0333333333333333;6;6;30;0,392156862745098
"3";"Anuchkin";14,3099567099567;0,0454545454545455;33;12;22;0,392156862745098
"4";"AgafjaTihonovna";15,6038961038961;0,0434782608695652;34;11;23;0,392156862745098
"5";"Jaichnitsa";30,3099567099567;0,0476190476190476;39;13;21;0,392156862745098
"6";"Kochkarev";4,9538961038961;0,04;49;10;25;0,392156862745098
"7";"ArinaPantelejmonovna";3,16818181818182;0,037037037037037;24;9;27;0,392156862745098
"8";"GolosPodkolesina";16;0,032258064516129;5;5;31;0,392156862745098
"9";"Podkolesin";16;0,037037037037037;22;8;27;0,392156862745098
"10";"Devchonka";0;0,027027027027027;1;1;37;0,392156862745098
"11";"GolosKochkareva";0;0,03125;4;4;32;0,392156862745098
"12";"IvanPavlovich";0;0,03125;4;4;32;0,392156862745098
"13";"Starikov";0,285714285714286;0,037037037037037;13;8;27;0,392156862745098
"14";"Zhevakin";1,78571428571429;0,0384615384615385;30;9;26;0,392156862745098
"15";"GolosFekly";0;0,0285714285714286;2;2;35;0,392156862745098
"16";"Golosizvozchika";0;0,0212765957446809;1;1;47;0,392156862745098
"17";"Stepan";0;0,0232558139534884;4;1;43;0,392156862745098
"18";"Vsetroe";0;0,0277777777777778;4;4;36;0,392156862745098
