Source;Type;Target;Weight
Arkadina;Undirected;PolinaAndreevna;7
Masha;Undirected;Medvedenko;8
Shamraev;Undirected;Treplev;3
Medvedenko;Undirected;Treplev;4
Arkadina;Undirected;Jakov;2
Arkadina;Undirected;Shamraev;11
Medvedenko;Undirected;Trigorin;2
Arkadina;Undirected;Masha;6
Nina;Undirected;PolinaAndreevna;3
PolinaAndreevna;Undirected;Povar;1
Nina;Undirected;Trigorin;5
Povar;Undirected;Shamraev;1
Dorn;Undirected;Sorin;7
PolinaAndreevna;Undirected;Shamraev;5
Dorn;Undirected;Masha;8
Medvedenko;Undirected;Nina;1
Jakov;Undirected;Sorin;1
Shamraev;Undirected;Sorin;4
Jakov;Undirected;Trigorin;1
Medvedenko;Undirected;Shamraev;3
Arkadina;Undirected;Dorn;9
Masha;Undirected;Shamraev;3
Jakov;Undirected;Shamraev;1
Dorn;Undirected;PolinaAndreevna;8
Arkadina;Undirected;Povar;1
Sorin;Undirected;Trigorin;2
Nina;Undirected;Shamraev;1
Treplev;Undirected;Trigorin;2
Arkadina;Undirected;Medvedenko;6
Medvedenko;Undirected;PolinaAndreevna;5
Arkadina;Undirected;Trigorin;9
Arkadina;Undirected;Treplev;7
Nina;Undirected;Sorin;5
Dorn;Undirected;Medvedenko;5
Povar;Undirected;Sorin;1
Masha;Undirected;PolinaAndreevna;7
Jakov;Undirected;Treplev;2
Sorin;Undirected;Treplev;6
Medvedenko;Undirected;Sorin;7
Dorn;Undirected;Nina;4
PolinaAndreevna;Undirected;Treplev;4
Dorn;Undirected;Trigorin;4
Masha;Undirected;Trigorin;5
Jakov;Undirected;Medvedenko;1
Jakov;Undirected;Povar;1
PolinaAndreevna;Undirected;Sorin;5
Dorn;Undirected;Treplev;3
Medvedenko;Undirected;Povar;1
Nina;Undirected;Treplev;6
Dorn;Undirected;Shamraev;5
Masha;Undirected;Treplev;4
Masha;Undirected;Sorin;4
Arkadina;Undirected;Nina;5
Jakov;Undirected;PolinaAndreevna;1
Masha;Undirected;Nina;1
Arkadina;Undirected;Sorin;10
PolinaAndreevna;Undirected;Trigorin;4
Shamraev;Undirected;Trigorin;6
