Source;Type;Target;Weight
Hruschov;Undirected;Orlovskij;6
FedorIvanovich;Undirected;Vasilij;1
Djadin;Undirected;FedorIvanovich;6
FedorIvanovich;Undirected;Zheltuhin;5
Djadin;Undirected;Orlovskij;11
ElenaAndreevna;Undirected;Serebrjakov;10
ElenaAndreevna;Undirected;Hruschov;6
Hruschov;Undirected;Semen;2
Orlovskij;Undirected;Vasilij;1
MarjaVasilevna;Undirected;Vojnitskij;4
FedorIvanovich;Undirected;Semen;1
ElenaAndreevna;Undirected;MarjaVasilevna;3
Julja;Undirected;Vasilij;1
Julja;Undirected;Orlovskij;10
Djadin;Undirected;Vasilij;1
Serebrjakov;Undirected;Zheltuhin;5
MarjaVasilevna;Undirected;Sonja;2
Semen;Undirected;Sonja;1
ElenaAndreevna;Undirected;Orlovskij;5
Sonja;Undirected;Vojnitskij;4
Orlovskij;Undirected;Sonja;9
Serebrjakov;Undirected;Vojnitskij;6
Julja;Undirected;Sonja;8
ElenaAndreevna;Undirected;Sonja;5
Djadin;Undirected;Hruschov;7
Julja;Undirected;Vojnitskij;6
Hruschov;Undirected;Julja;6
MarjaVasilevna;Undirected;Orlovskij;4
Julja;Undirected;Serebrjakov;5
Hruschov;Undirected;MarjaVasilevna;1
Julja;Undirected;MarjaVasilevna;2
Djadin;Undirected;Sonja;8
Orlovskij;Undirected;Zheltuhin;10
Orlovskij;Undirected;Serebrjakov;8
Hruschov;Undirected;Vojnitskij;2
FedorIvanovich;Undirected;Orlovskij;11
MarjaVasilevna;Undirected;Zheltuhin;3
Djadin;Undirected;ElenaAndreevna;5
ElenaAndreevna;Undirected;Semen;1
Semen;Undirected;Serebrjakov;1
FedorIvanovich;Undirected;Serebrjakov;4
MarjaVasilevna;Undirected;Serebrjakov;5
FedorIvanovich;Undirected;MarjaVasilevna;2
Hruschov;Undirected;Zheltuhin;4
ElenaAndreevna;Undirected;FedorIvanovich;4
Vasilij;Undirected;Vojnitskij;1
Sonja;Undirected;Zheltuhin;4
Julja;Undirected;Semen;3
Semen;Undirected;Zheltuhin;1
Djadin;Undirected;Zheltuhin;6
Djadin;Undirected;MarjaVasilevna;3
FedorIvanovich;Undirected;Sonja;6
Orlovskij;Undirected;Semen;1
Vojnitskij;Undirected;Zheltuhin;7
Julja;Undirected;Zheltuhin;9
Djadin;Undirected;Semen;2
Vasilij;Undirected;Zheltuhin;1
Djadin;Undirected;Vojnitskij;5
Djadin;Undirected;Serebrjakov;6
Orlovskij;Undirected;Vojnitskij;11
Djadin;Undirected;Julja;11
FedorIvanovich;Undirected;Vojnitskij;9
ElenaAndreevna;Undirected;Julja;3
Hruschov;Undirected;Serebrjakov;6
FedorIvanovich;Undirected;Julja;7
ElenaAndreevna;Undirected;Vojnitskij;9
ElenaAndreevna;Undirected;Zheltuhin;3
Serebrjakov;Undirected;Sonja;6
FedorIvanovich;Undirected;Hruschov;3
Hruschov;Undirected;Sonja;8
