Source;Type;Target;Weight
Kucher;Undirected;Savva;1
MarjaEgorovna;Undirected;Tihon;1
Fedja;Undirected;Nazarovna;2
Bortsov;Undirected;Tihon;4
GolosIzUgla;Undirected;Kucher;1
Bortsov;Undirected;Efimovna;3
Fedja;Undirected;GolosIzUgla;3
Bortsov;Undirected;Merik;3
Nazarovna;Undirected;Savva;2
GolosIzUgla;Undirected;Tihon;3
Efimovna;Undirected;Tihon;3
Fedja;Undirected;Savva;3
Efimovna;Undirected;Kucher;1
MarjaEgorovna;Undirected;Nazarovna;1
Bortsov;Undirected;Fedja;3
Efimovna;Undirected;Savva;3
Savva;Undirected;Tihon;3
Efimovna;Undirected;Nazarovna;2
MarjaEgorovna;Undirected;Merik;1
Kucher;Undirected;Kuzma;1
Efimovna;Undirected;Kuzma;1
Kucher;Undirected;Merik;1
Fedja;Undirected;Merik;2
Efimovna;Undirected;Fedja;3
Efimovna;Undirected;Merik;2
GolosIzUgla;Undirected;Savva;3
GolosIzUgla;Undirected;Kuzma;1
Bortsov;Undirected;MarjaEgorovna;1
Merik;Undirected;Savva;2
GolosIzUgla;Undirected;Nazarovna;2
Merik;Undirected;Tihon;3
Bortsov;Undirected;GolosIzUgla;3
Bortsov;Undirected;Nazarovna;3
Merik;Undirected;Nazarovna;2
Fedja;Undirected;Kuzma;1
GolosIzUgla;Undirected;Merik;2
Kuzma;Undirected;Merik;1
Bortsov;Undirected;Kuzma;1
Bortsov;Undirected;Kucher;1
Kuzma;Undirected;Tihon;1
Kucher;Undirected;Tihon;2
Kuzma;Undirected;Savva;1
Efimovna;Undirected;GolosIzUgla;3
Bortsov;Undirected;Savva;3
Fedja;Undirected;Tihon;4
Fedja;Undirected;Kucher;2
Nazarovna;Undirected;Tihon;3
