Source;Type;Target;Weight
GospozhaProstakova;Undirected;Trishka;1
GospozhaProstakova;Undirected;Sofja;7
Skotinin;Undirected;Sluga;1
Prostakov;Undirected;Sofja;5
Mitrofan;Undirected;Prostakov;5
Pravdin;Undirected;Starodum;13
GospozhaProstakova;Undirected;Milon;7
Pravdin;Undirected;Sofja;11
Mitrofan;Undirected;Skotinin;5
Kutejkin;Undirected;Tsyfirkin;7
Kutejkin;Undirected;Mitrofan;4
GospozhaProstakova;Undirected;Skotinin;9
Eremeevna;Undirected;GospozhaProstakova;9
Eremeevna;Undirected;Kutejkin;3
Eremeevna;Undirected;Tsyfirkin;3
Milon;Undirected;Vralman;1
Pravdin;Undirected;Prostakov;6
Kutejkin;Undirected;Prostakov;1
Milon;Undirected;Sofja;8
Prostakov;Undirected;Sluga;1
Pravdin;Undirected;Sluga;1
Prostakov;Undirected;Skotinin;9
Kutejkin;Undirected;Vralman;3
Milon;Undirected;Skotinin;8
Starodum;Undirected;Vralman;2
Mitrofan;Undirected;Sofja;3
Mitrofan;Undirected;Starodum;4
Eremeevna;Undirected;Sofja;3
GospozhaProstakova;Undirected;Prostakov;10
Eremeevna;Undirected;Vralman;1
GospozhaProstakova;Undirected;Mitrofan;10
Kutejkin;Undirected;Sofja;1
Eremeevna;Undirected;Milon;4
GospozhaProstakova;Undirected;Tsyfirkin;5
Kutejkin;Undirected;Milon;2
Kamerdiner;Undirected;Sofja;1
Milon;Undirected;Pravdin;13
Pravdin;Undirected;Tsyfirkin;2
Eremeevna;Undirected;Prostakov;3
Milon;Undirected;Mitrofan;4
Milon;Undirected;Prostakov;4
GospozhaProstakova;Undirected;Kutejkin;5
Milon;Undirected;Starodum;8
Mitrofan;Undirected;Trishka;1
Tsyfirkin;Undirected;Vralman;3
Mitrofan;Undirected;Pravdin;5
Sofja;Undirected;Tsyfirkin;1
Starodum;Undirected;Tsyfirkin;1
GospozhaProstakova;Undirected;Vralman;2
Prostakov;Undirected;Starodum;4
Eremeevna;Undirected;Mitrofan;6
Kutejkin;Undirected;Pravdin;2
Kamerdiner;Undirected;Starodum;2
Kutejkin;Undirected;Starodum;1
GospozhaProstakova;Undirected;Pravdin;11
Pravdin;Undirected;Skotinin;10
Eremeevna;Undirected;Starodum;6
Eremeevna;Undirected;Skotinin;3
Skotinin;Undirected;Starodum;6
Mitrofan;Undirected;Tsyfirkin;4
Pravdin;Undirected;Vralman;1
Prostakov;Undirected;Tsyfirkin;1
Skotinin;Undirected;Sofja;7
Eremeevna;Undirected;Pravdin;6
Kamerdiner;Undirected;Vralman;1
Mitrofan;Undirected;Vralman;1
GospozhaProstakova;Undirected;Starodum;10
Milon;Undirected;Tsyfirkin;2
Sofja;Undirected;Starodum;10
