Source;Type;Target;Weight
GospodinA;Undirected;Muzhchinavofrake;1
MuzhVtorojDamy;Undirected;OtstavshijChinovnik;1
GospodinVShineli;Undirected;PervajaBekesha;1
GospodaHoroshoOdetye;Undirected;MolodajaDama;1
ChinovnikRazgovorchivogoSvojstva;Undirected;KnjazN;1
Literator;Undirected;RaznyeGolosa;1
GospodinNeskolkobezzabotnyjNaschetliteratury;Undirected;MolodajaDama;1
NevzrachnyjNoJadovitogoSvojstvaСhelovek;Undirected;SvetskajaDama;1
Muzh;Undirected;SvetskajaDama;1
ChinovnikRazgovorchivogoSvojstva;Undirected;GospodinSDrugojStoronyGruppy;1
GospodinHladnokrovnogoSvojstva;Undirected;GospodinSVesom;1
GospodinB;Undirected;OdinIzGospod;1
ChinovnikRazgovorchivogoSvojstva;Undirected;OdinIzGospod;1
Drugoj;Undirected;GospodinHladnokrovnyj;1
Kupets;Undirected;NevzrachnyjNojadovitogoSvojstvaGospodin;1
GospodinP;Undirected;NomerOdin;1
GolosserditogoChinovnikaNoKakvidnoOpytnogo;Undirected;RaznyeGolosa;1
GolosIzTolpy;Undirected;Odin;1
GolosVNarode;Undirected;MuzhchinaVMundire;1
DamaSrednegoSveta;Undirected;MolodenkijChinovnikUklonchivogoSvojstva;1
MuzhPervojDamy;Undirected;MuzhVtorojDamy;1
GospodaHoroshoOdetye;Undirected;Ofitser;1
Chinovniksrednihlet;Undirected;GospodinHladnokrovnyj;1
Odin;Undirected;OdinIzGospod;1
Odin;Undirected;VtorajaDama;1
Avtor;Undirected;GospodinA;1
GospodinHladnokrovnogoSvojstva;Undirected;Literator;1
GospodinOtritsatelnogoSvojstva;Undirected;Odin;1
MolodenkijChinovnik;Undirected;Odinizdvuhzritelej;1
Muzh;Undirected;Sinijarmjak;1
Avtor;Undirected;Kupets;1
GospodinSDrugojStoronyGruppy;Undirected;PervajaDama;1
MuzhPervojDamy;Undirected;VtorajaDama;1
Chetvertyj;Undirected;OchenSkromnoOdetyjChelov;1
KrasivyjiPlotnyjGospodin;Undirected;Pjatyj;1
GospodinDobrodushnogoSvojstva;Undirected;OchenSkromnoOdetyjChelov;1
GospodinHladnokrovnyj;Undirected;NomerDva;1
GolosVOdnomkontseTolpy;Undirected;NeznakomyjSosed;1
Avtor;Undirected;ChinovnikVazhnojNaruzhnosti;1
GospodinBezzabotnyjNaschetliteratury;Undirected;OchenSkromnoOdetyjChelov;1
GospodinSDrugojStoronyGruppy;Undirected;Voennyj;1
GospodinVShineli;Undirected;SvetskajaDama;1
