Source;Type;Target;Weight
Anuchkin;Undirected;Podkolesin;2
AgafjaTihonovna;Undirected;Jaichnitsa;4
Anuchkin;Undirected;IvanPavlovich;1
Anuchkin;Undirected;Kochkarev;6
Jaichnitsa;Undirected;Kochkarev;7
Fekla;Undirected;Starikov;2
Jaichnitsa;Undirected;Zhevakin;6
AgafjaTihonovna;Undirected;ArinaPantelejmonovna;7
Anuchkin;Undirected;Jaichnitsa;8
Fekla;Undirected;Jaichnitsa;5
Dunjashka;Undirected;Kochkarev;1
AgafjaTihonovna;Undirected;Dunjashka;1
ArinaPantelejmonovna;Undirected;Kochkarev;4
IvanPavlovich;Undirected;Jaichnitsa;1
Fekla;Undirected;Zhevakin;4
Jaichnitsa;Undirected;Podkolesin;2
Devchonka;Undirected;Jaichnitsa;1
Anuchkin;Undirected;Fekla;4
ArinaPantelejmonovna;Undirected;Dunjashka;1
Kochkarev;Undirected;Zhevakin;6
GolosIzvozchika;Undirected;Podkolesin;1
AgafjaTihonovna;Undirected;Kochkarev;8
Anuchkin;Undirected;Starikov;2
Anuchkin;Undirected;Dunjashka;1
Jaichnitsa;Undirected;Starikov;2
Kochkarev;Undirected;Podkolesin;10
ArinaPantelejmonovna;Undirected;Jaichnitsa;2
ArinaPantelejmonovna;Undirected;Fekla;5
Dunjashka;Undirected;Fekla;1
AgafjaTihonovna;Undirected;Starikov;1
Dunjashka;Undirected;Jaichnitsa;1
Anuchkin;Undirected;Zhevakin;4
AgafjaTihonovna;Undirected;Zhevakin;4
Anuchkin;Undirected;ArinaPantelejmonovna;2
Fekla;Undirected;Kochkarev;9
AgafjaTihonovna;Undirected;Fekla;6
AgafjaTihonovna;Undirected;Anuchkin;3
Podkolesin;Undirected;Stepan;4
ArinaPantelejmonovna;Undirected;Zhevakin;2
Podkolesin;Undirected;Zhevakin;1
AgafjaTihonovna;Undirected;Podkolesin;3
Podkolesin;Undirected;Starikov;1
Kochkarev;Undirected;Starikov;2
Fekla;Undirected;Podkolesin;3
Fekla;Undirected;IvanPavlovich;1
ArinaPantelejmonovna;Undirected;Starikov;1
Starikov;Undirected;Zhevakin;2
IvanPavlovich;Undirected;Zhevakin;1
