Source;Type;Target;Weight
Doktor;Undirected;Shura;1
Donat;Undirected;Elizaveta;1
Elizaveta;Undirected;Zobunova;1
Taisja;Undirected;Varvara;1
Propotej;Undirected;Zobunova;1
Antonina;Undirected;Tjatin;2
Mokrousov;Undirected;Propotej;1
Glafira;Undirected;Propotej;1
Antonina;Undirected;Varvara;2
Bulychov;Undirected;Pavlin;3
Antonina;Undirected;Bashkin;2
Antonina;Undirected;Donat;1
Melanija;Undirected;Zobunova;1
Dostigaev;Undirected;Shura;2
Bulychov;Undirected;Zobunova;1
Melanija;Undirected;Mokrousov;1
Dostigaev;Undirected;Zvontsov;2
Ksenija;Undirected;Melanija;2
Elizaveta;Undirected;Tjatin;2
Aleksej;Undirected;Bulychov;1
Glafira;Undirected;Shura;3
Ksenija;Undirected;Zvontsov;3
Dostigaev;Undirected;Zobunova;1
Trubach;Undirected;Varvara;1
Bulychov;Undirected;Laptev;1
Mokrousov;Undirected;Varvara;1
Elizaveta;Undirected;Ksenija;2
Pavlin;Undirected;Tjatin;2
Bashkin;Undirected;Elizaveta;2
Ksenija;Undirected;Laptev;1
Varvara;Undirected;Zobunova;1
Bulychov;Undirected;Shura;3
Donat;Undirected;Dostigaev;1
Aleksej;Undirected;Antonina;1
Pavlin;Undirected;Taisja;1
Aleksej;Undirected;Zvontsov;1
Bulychov;Undirected;Dostigaev;2
Aleksej;Undirected;Shura;1
Donat;Undirected;Shura;2
Laptev;Undirected;Varvara;1
Dostigaev;Undirected;Trubach;1
Bulychov;Undirected;Varvara;3
Elizaveta;Undirected;Pavlin;2
Shura;Undirected;Trubach;1
Glafira;Undirected;Melanija;2
Melanija;Undirected;Shura;2
Bashkin;Undirected;Donat;2
Antonina;Undirected;Zobunova;1
Bashkin;Undirected;Mokrousov;1
Ksenija;Undirected;Tjatin;2
Bashkin;Undirected;Zobunova;1
Bashkin;Undirected;Shura;3
Aleksej;Undirected;Dostigaev;1
Tjatin;Undirected;Zobunova;1
Bashkin;Undirected;Laptev;1
Glafira;Undirected;Taisja;1
Antonina;Undirected;Melanija;2
Bulychov;Undirected;Tjatin;2
Glafira;Undirected;Tjatin;2
Laptev;Undirected;Pavlin;1
Aleksej;Undirected;Bashkin;1
Antonina;Undirected;Elizaveta;2
Bashkin;Undirected;Propotej;1
Donat;Undirected;Zvontsov;2
Taisja;Undirected;Zvontsov;1
Bulychov;Undirected;Mokrousov;1
Shura;Undirected;Varvara;3
Laptev;Undirected;Melanija;1
Elizaveta;Undirected;Varvara;2
Taisja;Undirected;Tjatin;1
Doktor;Undirected;Zvontsov;1
Propotej;Undirected;Varvara;1
Tjatin;Undirected;Varvara;2
Bulychov;Undirected;Propotej;1
Laptev;Undirected;Trubach;1
Doktor;Undirected;Glafira;1
Bulychov;Undirected;Ksenija;3
Dostigaev;Undirected;Mokrousov;1
Shura;Undirected;Taisja;1
Doktor;Undirected;Pavlin;1
Mokrousov;Undirected;Zvontsov;1
Pavlin;Undirected;Shura;3
Ksenija;Undirected;Trubach;1
Laptev;Undirected;Zvontsov;1
Trubach;Undirected;Zvontsov;1
Bulychov;Undirected;Doktor;1
Ksenija;Undirected;Mokrousov;1
Antonina;Undirected;Shura;2
Antonina;Undirected;Bulychov;2
Bulychov;Undirected;Melanija;2
Glafira;Undirected;Mokrousov;1
Melanija;Undirected;Pavlin;2
