Source;Type;Target;Weight
Aleshka;Undirected;Pepel;1
Bubnov;Undirected;KrivojZob;2
Medvedev;Undirected;Vasilisa;1
Kvashnja;Undirected;Medvedev;2
Aleshka;Undirected;Satin;2
Tatarin;Undirected;Vasilisa;1
Nastja;Undirected;Pepel;1
Akter;Undirected;Baron;2
Akter;Undirected;Tatarin;2
Anna;Undirected;Kvashnja;1
Luka;Undirected;Vasilisa;1
Kvashnja;Undirected;Natasha;1
Akter;Undirected;Luka;1
Medvedev;Undirected;Pepel;1
Kostylev;Undirected;Medvedev;2
Medvedev;Undirected;Nastja;3
Klesch;Undirected;Pepel;1
Klesch;Undirected;Medvedev;2
Kostylev;Undirected;Natasha;1
Baron;Undirected;Kvashnja;2
Aleshka;Undirected;Klesch;2
Akter;Undirected;Pepel;1
Baron;Undirected;Pepel;1
Klesch;Undirected;Kostylev;1
Anna;Undirected;Luka;1
Satin;Undirected;Tatarin;2
Medvedev;Undirected;Satin;2
Akter;Undirected;Klesch;2
Akter;Undirected;KrivojZob;1
Aleshka;Undirected;KrivojZob;1
Bubnov;Undirected;Pepel;1
Klesch;Undirected;Luka;1
Nastja;Undirected;Tatarin;2
Bubnov;Undirected;Medvedev;3
Baron;Undirected;Vasilisa;1
Kostylev;Undirected;Luka;2
Natasha;Undirected;Pepel;1
Bubnov;Undirected;Tatarin;3
Natasha;Undirected;Satin;1
Nastja;Undirected;Vasilisa;1
KrivojZob;Undirected;Natasha;1
Akter;Undirected;Kostylev;1
Aleshka;Undirected;Bubnov;2
KrivojZob;Undirected;Satin;1
Aleshka;Undirected;Natasha;1
Anna;Undirected;Bubnov;1
Klesch;Undirected;Nastja;2
Bubnov;Undirected;Vasilisa;1
Aleshka;Undirected;Nastja;2
Aleshka;Undirected;Baron;2
Anna;Undirected;Nastja;1
Pepel;Undirected;Satin;1
Akter;Undirected;Kvashnja;1
Baron;Undirected;Bubnov;3
Luka;Undirected;Nastja;2
Kvashnja;Undirected;Vasilisa;1
Luka;Undirected;Pepel;1
Medvedev;Undirected;Tatarin;2
Kostylev;Undirected;Kvashnja;2
Akter;Undirected;Vasilisa;1
Aleshka;Undirected;Luka;1
Klesch;Undirected;KrivojZob;1
Aleshka;Undirected;Kvashnja;1
KrivojZob;Undirected;Luka;1
Baron;Undirected;Medvedev;3
Nastja;Undirected;Satin;2
KrivojZob;Undirected;Nastja;1
Pepel;Undirected;Tatarin;1
Baron;Undirected;Natasha;1
Baron;Undirected;Kostylev;2
Baron;Undirected;Satin;2
Baron;Undirected;Luka;2
Baron;Undirected;Nastja;3
Akter;Undirected;Satin;2
Kostylev;Undirected;Pepel;1
Bubnov;Undirected;Natasha;1
Bubnov;Undirected;Klesch;2
Kostylev;Undirected;Vasilisa;1
Kvashnja;Undirected;Satin;1
Kvashnja;Undirected;Tatarin;1
KrivojZob;Undirected;Tatarin;2
Luka;Undirected;Tatarin;1
Nastja;Undirected;Natasha;1
KrivojZob;Undirected;Vasilisa;1
Bubnov;Undirected;Luka;2
Klesch;Undirected;Natasha;1
Aleshka;Undirected;Vasilisa;1
Satin;Undirected;Vasilisa;1
Kostylev;Undirected;Tatarin;1
KrivojZob;Undirected;Kvashnja;1
Klesch;Undirected;Tatarin;2
Anna;Undirected;Kostylev;1
Kvashnja;Undirected;Pepel;1
Luka;Undirected;Medvedev;2
Akter;Undirected;Bubnov;2
Kostylev;Undirected;KrivojZob;1
Kvashnja;Undirected;Nastja;2
Anna;Undirected;Medvedev;1
Akter;Undirected;Nastja;2
Kvashnja;Undirected;Luka;2
Aleshka;Undirected;Kostylev;1
Bubnov;Undirected;Nastja;3
Bubnov;Undirected;Kvashnja;2
Aleshka;Undirected;Tatarin;2
Anna;Undirected;Baron;1
Akter;Undirected;Medvedev;2
Baron;Undirected;KrivojZob;1
Kostylev;Undirected;Nastja;2
Luka;Undirected;Natasha;1
Klesch;Undirected;Satin;2
Bubnov;Undirected;Satin;2
Medvedev;Undirected;Natasha;1
Aleshka;Undirected;Medvedev;2
Bubnov;Undirected;Kostylev;2
Klesch;Undirected;Kvashnja;1
Baron;Undirected;Klesch;2
Kostylev;Undirected;Satin;1
Akter;Undirected;Natasha;1
Akter;Undirected;Aleshka;2
KrivojZob;Undirected;Pepel;1
Pepel;Undirected;Vasilisa;1
Natasha;Undirected;Tatarin;1
Baron;Undirected;Tatarin;2
KrivojZob;Undirected;Medvedev;1
Natasha;Undirected;Vasilisa;1
Luka;Undirected;Satin;1
Klesch;Undirected;Vasilisa;1
