Source;Type;Target;Weight
Belvedonskij;Undirected;MashinistkaUnderton;1
Chudakov;Undirected;Dvojkin;3
Chudakov;Undirected;Prositelnitsa;1
Mezaljansova;Undirected;Preddomkoma;1
MashinistkaUnderton;Undirected;Nochkin;1
Belvedonskij;Undirected;PontKich;1
Fosforicheskajazhenschina;Undirected;Militsioner;1
Polja;Undirected;PontKich;3
Dvojkin;Undirected;Polja;3
Foskin;Undirected;Militsioner;1
Mezaljansova;Undirected;Rezhisser;1
Militsioner;Undirected;Optimistenko;1
Fosforicheskajazhenschina;Undirected;Mezaljansova;3
Dvojkin;Undirected;Optimistenko;3
Preddomkoma;Undirected;Velosipedkin;1
PontKich;Undirected;Underton;2
Optimistenko;Undirected;PontKich;2
IvanIvanovich;Undirected;Kapeldiner;1
Dvojkin;Undirected;Trojkin;2
MashinistkaUnderton;Undirected;Underton;1
Prositel;Undirected;Prositelnitsa;1
Foskin;Undirected;Velosipedkin;3
Preddomkoma;Undirected;unknown_speaker;1
Prositel;Undirected;Underton;1
PontKich;Undirected;Velosipedkin;3
Chudakov;Undirected;PontKich;3
Foskin;Undirected;IvanIvanovich;3
Prositelnitsa;Undirected;unknown_speaker;1
Kapeldiner;Undirected;Rezhisser;1
Kapeldiner;Undirected;Mezaljansova;1
Militsioner;Undirected;Velosipedkin;1
Militsioner;Undirected;Pobedonosikov;1
IvanIvanovich;Undirected;Pobedonosikov;3
Foskin;Undirected;PontKich;3
Foskin;Undirected;Trojkin;1
Prositel;Undirected;unknown_speaker;1
Dvojkin;Undirected;Nochkin;2
Belvedonskij;Undirected;unknown_speaker;1
Momentalnikov;Undirected;Polja;1
Dvojkin;Undirected;Militsioner;1
Fosforicheskajazhenschina;Undirected;IvanIvanovich;2
IvanIvanovich;Undirected;Preddomkoma;1
Mezaljansova;Undirected;Velosipedkin;6
Fosforicheskajazhenschina;Undirected;Trojkin;2
Dvojkin;Undirected;Mezaljansova;3
Optimistenko;Undirected;Prositel;1
IvanIvanovich;Undirected;unknown_speaker;2
Mezaljansova;Undirected;Polja;4
PontKich;Undirected;Preddomkoma;1
Polja;Undirected;unknown_speaker;1
Belvedonskij;Undirected;Fosforicheskajazhenschina;1
Foskin;Undirected;unknown_speaker;1
Dvojkin;Undirected;Foskin;2
Foskin;Undirected;Nochkin;2
Chudakov;Undirected;Optimistenko;4
Nochkin;Undirected;unknown_speaker;1
Militsioner;Undirected;Polja;1
Optimistenko;Undirected;Pobedonosikov;4
Fosforicheskajazhenschina;Undirected;Nochkin;2
Dvojkin;Undirected;Velosipedkin;3
Optimistenko;Undirected;Polja;3
Mezaljansova;Undirected;PontKich;3
Underton;Undirected;unknown_speaker;1
Mezaljansova;Undirected;Prositelnitsa;1
Foskin;Undirected;Optimistenko;2
Militsioner;Undirected;Nochkin;1
Militsioner;Undirected;Underton;1
Kapeldiner;Undirected;Pobedonosikov;1
Belvedonskij;Undirected;Chudakov;2
Chudakov;Undirected;Polja;4
Chudakov;Undirected;Preddomkoma;1
Nochkin;Undirected;Prositelnitsa;1
Momentalnikov;Undirected;PontKich;1
PontKich;Undirected;unknown_speaker;1
Pobedonosikov;Undirected;Trojkin;2
Optimistenko;Undirected;Prositelnitsa;1
Mezaljansova;Undirected;Pobedonosikov;5
IvanIvanovich;Undirected;PontKich;3
MashinistkaUnderton;Undirected;Pobedonosikov;1
Mezaljansova;Undirected;unknown_speaker;3
Nochkin;Undirected;PontKich;2
Momentalnikov;Undirected;Velosipedkin;1
Mezaljansova;Undirected;Underton;3
Optimistenko;Undirected;Trojkin;2
Fosforicheskajazhenschina;Undirected;Polja;3
Pobedonosikov;Undirected;unknown_speaker;2
Chudakov;Undirected;Mezaljansova;5
IvanIvanovich;Undirected;Militsioner;1
Chudakov;Undirected;Prositel;1
Kapeldiner;Undirected;unknown_speaker;1
Belvedonskij;Undirected;IvanIvanovich;1
IvanIvanovich;Undirected;Optimistenko;2
Mezaljansova;Undirected;Militsioner;1
Chudakov;Undirected;unknown_speaker;2
Belvedonskij;Undirected;Pobedonosikov;2
Pobedonosikov;Undirected;Prositelnitsa;1
Mezaljansova;Undirected;Prositel;1
Nochkin;Undirected;Velosipedkin;3
Optimistenko;Undirected;unknown_speaker;1
Chudakov;Undirected;Pobedonosikov;4
Fosforicheskajazhenschina;Undirected;Velosipedkin;3
Foskin;Undirected;Preddomkoma;1
Chudakov;Undirected;Trojkin;2
Polja;Undirected;Velosipedkin;4
Pobedonosikov;Undirected;Prositel;1
Dvojkin;Undirected;Underton;2
IvanIvanovich;Undirected;Mezaljansova;4
Fosforicheskajazhenschina;Undirected;Pobedonosikov;3
MashinistkaUnderton;Undirected;Velosipedkin;1
Pobedonosikov;Undirected;Rezhisser;1
IvanIvanovich;Undirected;Nochkin;2
Belvedonskij;Undirected;Nochkin;2
Belvedonskij;Undirected;Foskin;1
Dvojkin;Undirected;PontKich;2
Mezaljansova;Undirected;Momentalnikov;1
Chudakov;Undirected;Foskin;3
Fosforicheskajazhenschina;Undirected;Underton;2
Mezaljansova;Undirected;Nochkin;3
Dvojkin;Undirected;Pobedonosikov;3
IvanIvanovich;Undirected;Rezhisser;1
Belvedonskij;Undirected;Mezaljansova;2
Chudakov;Undirected;IvanIvanovich;3
Nochkin;Undirected;Underton;3
Chudakov;Undirected;Velosipedkin;5
Chudakov;Undirected;Fosforicheskajazhenschina;3
IvanIvanovich;Undirected;Momentalnikov;1
Pobedonosikov;Undirected;Polja;3
Fosforicheskajazhenschina;Undirected;Optimistenko;3
Fosforicheskajazhenschina;Undirected;Foskin;2
Foskin;Undirected;Pobedonosikov;2
MashinistkaUnderton;Undirected;Prositelnitsa;1
Belvedonskij;Undirected;Velosipedkin;2
IvanIvanovich;Undirected;Polja;3
Pobedonosikov;Undirected;Velosipedkin;5
Chudakov;Undirected;Militsioner;1
Chudakov;Undirected;MashinistkaUnderton;1
Trojkin;Undirected;Velosipedkin;2
MashinistkaUnderton;Undirected;unknown_speaker;1
Belvedonskij;Undirected;Dvojkin;1
Belvedonskij;Undirected;Prositelnitsa;1
Foskin;Undirected;Momentalnikov;1
Prositelnitsa;Undirected;Underton;1
Optimistenko;Undirected;Velosipedkin;4
Momentalnikov;Undirected;unknown_speaker;1
Underton;Undirected;Velosipedkin;3
Foskin;Undirected;Underton;2
Optimistenko;Undirected;Underton;3
Belvedonskij;Undirected;Militsioner;1
MashinistkaUnderton;Undirected;Optimistenko;1
Polja;Undirected;Preddomkoma;1
Belvedonskij;Undirected;Polja;1
Prositel;Undirected;Velosipedkin;1
Velosipedkin;Undirected;unknown_speaker;3
Mezaljansova;Undirected;Optimistenko;4
IvanIvanovich;Undirected;Underton;2
Chudakov;Undirected;Underton;3
Dvojkin;Undirected;Fosforicheskajazhenschina;3
Nochkin;Undirected;Optimistenko;3
Foskin;Undirected;Mezaljansova;3
Chudakov;Undirected;Nochkin;3
Belvedonskij;Undirected;Optimistenko;2
Nochkin;Undirected;Polja;2
Pobedonosikov;Undirected;Underton;3
IvanIvanovich;Undirected;Trojkin;1
IvanIvanovich;Undirected;Velosipedkin;4
Nochkin;Undirected;Trojkin;1
Polja;Undirected;Trojkin;2
Foskin;Undirected;Polja;3
Belvedonskij;Undirected;Underton;2
Militsioner;Undirected;PontKich;1
Nochkin;Undirected;Pobedonosikov;3
Prositelnitsa;Undirected;Velosipedkin;1
Rezhisser;Undirected;Velosipedkin;1
Trojkin;Undirected;Underton;1
MashinistkaUnderton;Undirected;Mezaljansova;1
Kapeldiner;Undirected;Velosipedkin;1
Mezaljansova;Undirected;Trojkin;2
Rezhisser;Undirected;unknown_speaker;1
Nochkin;Undirected;Prositel;1
Fosforicheskajazhenschina;Undirected;PontKich;2
Momentalnikov;Undirected;Preddomkoma;1
MashinistkaUnderton;Undirected;Prositel;1
PontKich;Undirected;Trojkin;1
Chudakov;Undirected;Momentalnikov;1
Pobedonosikov;Undirected;PontKich;2
Belvedonskij;Undirected;Prositel;1
Polja;Undirected;Underton;2
Dvojkin;Undirected;IvanIvanovich;2
