Source;Type;Target;Weight
Guslin;Undirected;PelagejaEgorovna;4
Devushki;Undirected;Egorushka;1
Korshunov;Undirected;pervajagostja;1
Vozhak;Undirected;pervajagostja;1
Liza;Undirected;vtorajagostja;1
Arina;Undirected;Razljuljaev;2
Egorushka;Undirected;Masha;1
Mitja;Undirected;Razljuljaev;7
PelagejaEgorovna;Undirected;Vozhak;1
Arina;Undirected;Vozhak;1
Masha;Undirected;Razljuljaev;4
GordejKarpych;Undirected;Razljuljaev;3
AnnaIvanovna;Undirected;Guslin;3
Devushki;Undirected;Liza;1
Arina;Undirected;pervajagostja;2
Egorushka;Undirected;Mitja;3
Arina;Undirected;Devushki;2
Liza;Undirected;LjubovGordeevna;5
PelagejaEgorovna;Undirected;pervajagostja;3
Mitja;Undirected;PelagejaEgorovna;9
GordejKarpych;Undirected;Masha;2
Guslin;Undirected;Liza;2
Guslin;Undirected;Razljuljaev;5
Mitja;Undirected;Starik;1
Masha;Undirected;vtorajagostja;1
AnnaIvanovna;Undirected;Razljuljaev;3
Devushki;Undirected;LjubovGordeevna;2
Guslin;Undirected;Masha;2
AnnaIvanovna;Undirected;Devushki;1
GordejKarpych;Undirected;vtorajagostja;1
GordejKarpych;Undirected;LjubimKarpych;3
Masha;Undirected;PelagejaEgorovna;2
Liza;Undirected;Razljuljaev;4
Liza;Undirected;Mitja;2
LjubimKarpych;Undirected;Masha;1
Guslin;Undirected;pervajagostja;2
GordejKarpych;Undirected;LjubovGordeevna;6
AnnaIvanovna;Undirected;PelagejaEgorovna;4
Arina;Undirected;Korshunov;1
Razljuljaev;Undirected;pervajagostja;2
Devushki;Undirected;PelagejaEgorovna;2
AnnaIvanovna;Undirected;Liza;4
Starik;Undirected;Vozhak;1
Arina;Undirected;Masha;1
Guslin;Undirected;Starik;1
Egorushka;Undirected;vtorajagostja;1
Korshunov;Undirected;PelagejaEgorovna;3
Egorushka;Undirected;Liza;1
PelagejaEgorovna;Undirected;Razljuljaev;4
Egorushka;Undirected;pervajagostja;2
AnnaIvanovna;Undirected;LjubimKarpych;1
AnnaIvanovna;Undirected;Masha;4
Guslin;Undirected;LjubovGordeevna;3
AnnaIvanovna;Undirected;Arina;1
Masha;Undirected;pervajagostja;1
AnnaIvanovna;Undirected;GordejKarpych;3
Egorushka;Undirected;PelagejaEgorovna;2
Mitja;Undirected;pervajagostja;2
Arina;Undirected;GordejKarpych;1
Guslin;Undirected;Vozhak;1
Korshunov;Undirected;Razljuljaev;2
Devushki;Undirected;pervajagostja;1
Liza;Undirected;pervajagostja;1
Devushki;Undirected;Guslin;1
Egorushka;Undirected;Korshunov;1
LjubimKarpych;Undirected;LjubovGordeevna;3
PelagejaEgorovna;Undirected;Starik;1
Korshunov;Undirected;Liza;3
AnnaIvanovna;Undirected;pervajagostja;1
Mitja;Undirected;vtorajagostja;1
Arina;Undirected;PelagejaEgorovna;5
Razljuljaev;Undirected;Starik;1
Guslin;Undirected;LjubimKarpych;1
LjubimKarpych;Undirected;Mitja;2
Razljuljaev;Undirected;vtorajagostja;1
AnnaIvanovna;Undirected;Mitja;4
Korshunov;Undirected;Mitja;1
Arina;Undirected;Starik;1
GordejKarpych;Undirected;Korshunov;8
Liza;Undirected;Masha;6
Egorushka;Undirected;Vozhak;1
AnnaIvanovna;Undirected;Korshunov;2
Arina;Undirected;Liza;1
LjubovGordeevna;Undirected;pervajagostja;1
LjubimKarpych;Undirected;PelagejaEgorovna;1
Starik;Undirected;pervajagostja;1
LjubovGordeevna;Undirected;Mitja;6
Arina;Undirected;LjubovGordeevna;2
Devushki;Undirected;Korshunov;1
GordejKarpych;Undirected;Guslin;1
Arina;Undirected;vtorajagostja;1
Arina;Undirected;Guslin;2
GordejKarpych;Undirected;Mitja;4
LjubovGordeevna;Undirected;PelagejaEgorovna;6
AnnaIvanovna;Undirected;Egorushka;1
Korshunov;Undirected;LjubovGordeevna;6
Egorushka;Undirected;GordejKarpych;1
Devushki;Undirected;Razljuljaev;1
AnnaIvanovna;Undirected;LjubovGordeevna;6
Korshunov;Undirected;vtorajagostja;1
pervajagostja;Undirected;vtorajagostja;2
GordejKarpych;Undirected;PelagejaEgorovna;4
Egorushka;Undirected;Starik;1
LjubovGordeevna;Undirected;Masha;5
LjubimKarpych;Undirected;Razljuljaev;3
Arina;Undirected;Mitja;2
Masha;Undirected;Mitja;2
Egorushka;Undirected;Razljuljaev;2
Egorushka;Undirected;Guslin;2
LjubovGordeevna;Undirected;Razljuljaev;5
GordejKarpych;Undirected;Liza;2
AnnaIvanovna;Undirected;vtorajagostja;1
Korshunov;Undirected;Masha;3
Razljuljaev;Undirected;Vozhak;1
Liza;Undirected;PelagejaEgorovna;2
Guslin;Undirected;Mitja;7
Devushki;Undirected;GordejKarpych;1
Guslin;Undirected;vtorajagostja;1
Arina;Undirected;Egorushka;3
GordejKarpych;Undirected;pervajagostja;1
Egorushka;Undirected;LjubovGordeevna;2
Devushki;Undirected;vtorajagostja;1
PelagejaEgorovna;Undirected;vtorajagostja;2
Devushki;Undirected;Mitja;1
Korshunov;Undirected;LjubimKarpych;3
Mitja;Undirected;Vozhak;1
Liza;Undirected;LjubimKarpych;1
LjubovGordeevna;Undirected;vtorajagostja;1
Devushki;Undirected;Masha;1
