Source;Type;Target;Weight
Ivan;Undirected;Paratov;3
Ogudalova;Undirected;Robinzon;4
Ogudalova;Undirected;Vozhevatov;5
Karandyshev;Undirected;Vozhevatov;6
Larisa;Undirected;Vozhevatov;5
Karandyshev;Undirected;Paratov;6
Karandyshev;Undirected;Ogudalova;8
Paratov;Undirected;Vozhevatov;14
Ivan;Undirected;Robinzon;5
EvfrosinjaPotapovna;Undirected;Ogudalova;3
Knurov;Undirected;Robinzon;8
Karandyshev;Undirected;Larisa;7
Ilja;Undirected;Larisa;2
EvfrosinjaPotapovna;Undirected;Knurov;1
Knurov;Undirected;Vozhevatov;13
Ivan;Undirected;Karandyshev;4
EvfrosinjaPotapovna;Undirected;Larisa;2
Robinzon;Undirected;Vozhevatov;12
Gavrilo;Undirected;Ilja;1
Ivan;Undirected;Larisa;3
Paratov;Undirected;Robinzon;12
Ivan;Undirected;Vozhevatov;5
EvfrosinjaPotapovna;Undirected;Ivan;3
Ivan;Undirected;Knurov;5
Gavrilo;Undirected;Larisa;2
Ilja;Undirected;Paratov;2
EvfrosinjaPotapovna;Undirected;Karandyshev;2
Larisa;Undirected;Robinzon;5
Gavrilo;Undirected;Vozhevatov;4
Ilja;Undirected;Karandyshev;1
Ilja;Undirected;Robinzon;1
Larisa;Undirected;Ogudalova;10
Ogudalova;Undirected;Paratov;6
Gavrilo;Undirected;Robinzon;2
Ilja;Undirected;Vozhevatov;2
Knurov;Undirected;Paratov;9
Karandyshev;Undirected;Robinzon;7
Gavrilo;Undirected;Karandyshev;1
Ilja;Undirected;Knurov;2
Gavrilo;Undirected;Ogudalova;1
EvfrosinjaPotapovna;Undirected;Paratov;1
Ilja;Undirected;Ivan;1
Karandyshev;Undirected;Knurov;4
Knurov;Undirected;Ogudalova;4
Gavrilo;Undirected;Knurov;4
Ilja;Undirected;Ogudalova;2
Knurov;Undirected;Larisa;5
Gavrilo;Undirected;Paratov;2
Gavrilo;Undirected;Ivan;6
Ivan;Undirected;Ogudalova;3
Larisa;Undirected;Paratov;8
EvfrosinjaPotapovna;Undirected;Robinzon;1
EvfrosinjaPotapovna;Undirected;Ilja;1
EvfrosinjaPotapovna;Undirected;Vozhevatov;1
