Source;Type;Target;Weight
Lel;Undirected;Obschijhor;1
Malysh;Undirected;Vse;1
2-jhor;Undirected;Snegurochka;1
Hor;Undirected;Pervaja;1
Bobyliha;Undirected;Brusilo;1
Mizgir;Undirected;Pervaja;1
Lel;Undirected;Snegurochka;8
2-jhor;Undirected;Golosaizlesu;1
Kupava;Undirected;Lel;3
Birjuch;Undirected;Snegurochka;1
Pervaja;Undirected;Snegurochka;1
Bobyl;Undirected;Murash;1
1-jhor;Undirected;2-jhor;1
Bermjata;Undirected;Snegurochka;1
Hor;Undirected;Lel;1
Kupava;Undirected;Vse;1
Bobyl;Undirected;Golosaizlesu;1
Brusilo;Undirected;Vse;1
1-jhorberendeev;Undirected;2-jhor;1
Bermjata;Undirected;Murash;1
1-jhorberendeev;Undirected;Bobyl;1
Bobyliha;Undirected;Golosaizlesu;1
Narod;Undirected;Snegurochka;1
Malysh;Undirected;Mizgir;2
1-jhorberendeev;Undirected;Golosaizlesu;1
Lel;Undirected;Vse;1
Berendei;Undirected;ChucheloMasljanitsy;1
Berendei;Undirected;Snegurochka;1
2-jhor;Undirected;Berendei;1
Bobyl;Undirected;Tsar;1
Brusilo;Undirected;Kupava;3
1-jhor;Undirected;Berendei;1
Radushka;Undirected;Snegurochka;3
1-jhorberendeev;Undirected;Odinberendej;1
Malusha;Undirected;Malysh;2
Golosaizlesu;Undirected;Snegurochka;1
Obschijhor;Undirected;Pervaja;1
Hornaroda;Undirected;Tsar;1
Bermjata;Undirected;Otrok;1
Radushka;Undirected;Tsar;1
ChucheloMasljanitsy;Undirected;Odinberendej;1
PerviySkomoroh;Undirected;VtorojSkomoroh;1
Lel;Undirected;Odnastorona;1
Kupava;Undirected;Malusha;3
Bobyliha;Undirected;Kurilka;1
Drugajastorona;Undirected;Snegurochka;1
Obschijhor;Undirected;Odnastorona;1
PrekrasnajaElena;Undirected;Tsar;2
Drugajastorona;Undirected;Obschijhor;1
Mizgir;Undirected;Vse;1
Bobyl;Undirected;Narod;1
Murash;Undirected;Snegurochka;1
Murash;Undirected;PrekrasnajaElena;1
Lel;Undirected;Narod;1
Brusilo;Undirected;Snegurochka;3
Hornaroda;Undirected;Narod;1
Kurilka;Undirected;Murash;1
Devushkiiparni;Undirected;Murash;1
Malysh;Undirected;Murash;1
Bobyliha;Undirected;PrekrasnajaElena;1
Kupava;Undirected;Otrok;1
Malysh;Undirected;Radushka;2
Bobyliha;Undirected;Snegurochka;5
Kurilka;Undirected;Tsar;1
Obschijhor;Undirected;Tsar;1
Bermjata;Undirected;Lel;1
Bobyliha;Undirected;Odinberendej;1
Devushkiiparni;Undirected;Lel;1
Hor;Undirected;Mizgir;1
Brusilo;Undirected;Malusha;4
Malysh;Undirected;Snegurochka;1
Moroz;Undirected;Snegurochka;2
Murash;Undirected;Radushka;2
Kurilka;Undirected;Malusha;3
Berendei;Undirected;Odinberendej;1
Tsar;Undirected;VtorojSkomoroh;1
Birjuch;Undirected;Bobyliha;1
Bobyl;Undirected;Odinberendej;1
Devushkiiparni;Undirected;Snegurochka;1
Mizgir;Undirected;Radushka;2
Lel;Undirected;PrekrasnajaElena;2
Pervaja;Undirected;Vtoraja;1
Brusilo;Undirected;Kurilka;3
1-jhor;Undirected;Bobyl;1
1-jhor;Undirected;1-jhorberendeev;1
2-jhor;Undirected;Odinberendej;1
Obschijhor;Undirected;Snegurochka;1
Bobyliha;Undirected;Devushkiiparni;1
Drugajastorona;Undirected;Hor;1
Lel;Undirected;Tsar;3
Drugajastorona;Undirected;Tsar;1
Snegurochka;Undirected;Tsar;3
Golosaiznaroda;Undirected;Odnastorona;1
PerviyBirjuch;Undirected;Tsar;1
Kurilka;Undirected;Snegurochka;3
PerviyBirjuch;Undirected;VtorojBirjuch;1
Devushkiiparni;Undirected;Kurilka;1
Brusilo;Undirected;Murash;2
Bobyliha;Undirected;Narod;1
Hor;Undirected;Odnastorona;1
Otrok;Undirected;VtorojBirjuch;1
ChucheloMasljanitsy;Undirected;Golosaizlesu;1
Brusilo;Undirected;Devushkiiparni;1
Golosaiznaroda;Undirected;Pervaja;1
Gusljary(pojut);Undirected;Tsar;1
Otrok;Undirected;Tsar;2
Leshij;Undirected;Mizgir;1
Kupava;Undirected;Mizgir;4
Bobyl;Undirected;Bobyliha;4
Brusilo;Undirected;Tsar;1
Bobyliha;Undirected;Lel;3
Bobyliha;Undirected;Kupava;1
Devushkiiparni;Undirected;Tsar;1
Hornaroda;Undirected;Mizgir;1
Mizgir;Undirected;Obschijhor;1
Lel;Undirected;Murash;3
1-jhor;Undirected;Odinberendej;1
Bermjata;Undirected;PrekrasnajaElena;2
Bobyl;Undirected;Lel;3
Mizgir;Undirected;Odnastorona;1
Drugajastorona;Undirected;Lel;1
Gusljary(pojut);Undirected;VtorojSkomoroh;1
2-jhor;Undirected;Bobyliha;1
Bobyliha;Undirected;Tsar;2
Drugajastorona;Undirected;Vtoraja;1
Golosaiznaroda;Undirected;Tsar;1
Hor;Undirected;Obschijhor;1
Brusilo;Undirected;Malysh;2
