Source;Type;Target;Weight
Chugunov;Undirected;Stoljar;1
Chugunov;Undirected;Murzavetskij;2
Kupavina;Undirected;Murzavetskij;4
Murzavetskaja;Undirected;Pavlin;6
Lynjaev;Undirected;Murzavetskij;1
Goretskij;Undirected;Lynjaev;1
Starosta;Undirected;Stoljar;2
Anfusa;Undirected;Pavlin;1
Chugunov;Undirected;Glafira;1
Glafira;Undirected;Kupavina;6
Pavlin;Undirected;Podrjadchik;2
Maljar;Undirected;Stoljar;2
Pavlin;Undirected;PervyjKrestjanin;1
Berkutov;Undirected;Chugunov;3
Chugunov;Undirected;Pavlin;6
Berkutov;Undirected;Pavlin;1
Pavlin;Undirected;Starosta;2
Kupavina;Undirected;Pavlin;1
PervyjKrestjanin;Undirected;Stoljar;1
Kupavina;Undirected;Lynjaev;7
Podrjadchik;Undirected;Stoljar;2
Murzavetskij;Undirected;Pavlin;3
Glafira;Undirected;Goretskij;1
Berkutov;Undirected;Kupavina;8
Chugunov;Undirected;Maljar;1
PervyjKrestjanin;Undirected;VtorojKrestjanin;1
Kupavina;Undirected;Lakej;3
Anfusa;Undirected;Berkutov;3
Anfusa;Undirected;Kupavina;9
Chugunov;Undirected;Kupavina;3
Pavlin;Undirected;Stoljar;2
Chugunov;Undirected;Goretskij;1
Berkutov;Undirected;Glafira;2
Chugunov;Undirected;Murzavetskaja;6
Maljar;Undirected;Podrjadchik;2
Glafira;Undirected;Pavlin;2
Podrjadchik;Undirected;VtorojKrestjanin;1
Anfusa;Undirected;Lynjaev;8
Podrjadchik;Undirected;Starosta;2
Starosta;Undirected;VtorojKrestjanin;1
Maljar;Undirected;Pavlin;2
Pavlin;Undirected;VtorojKrestjanin;1
Anfusa;Undirected;Murzavetskaja;6
Stoljar;Undirected;VtorojKrestjanin;1
Glafira;Undirected;Murzavetskij;1
Anfusa;Undirected;Chugunov;1
Murzavetskaja;Undirected;Murzavetskij;7
Berkutov;Undirected;Murzavetskaja;4
Glafira;Undirected;Lynjaev;8
PervyjKrestjanin;Undirected;Starosta;1
Maljar;Undirected;VtorojKrestjanin;1
Murzavetskij;Undirected;Vlas;1
Chugunov;Undirected;Podrjadchik;1
Berkutov;Undirected;Goretskij;1
Lynjaev;Undirected;Murzavetskaja;2
PervyjKrestjanin;Undirected;Podrjadchik;1
Berkutov;Undirected;Lynjaev;4
Anfusa;Undirected;Murzavetskij;4
Berkutov;Undirected;Lakej;2
Lynjaev;Undirected;Pavlin;1
Maljar;Undirected;Starosta;2
Lakej;Undirected;Lynjaev;1
Glafira;Undirected;Lakej;2
Anfusa;Undirected;Glafira;3
Glafira;Undirected;Murzavetskaja;2
Kupavina;Undirected;Murzavetskaja;8
Pavlin;Undirected;Vlas;1
Chugunov;Undirected;Starosta;1
Chugunov;Undirected;Lynjaev;1
Maljar;Undirected;PervyjKrestjanin;1
