Source;Type;Target;Weight
DrugojRytsar_4;Undirected;Rytsari_2;1
DrugojRytsar_3;Undirected;Rotenfeld;1
Bertold;Undirected;Frants;1
Klotilda;Undirected;Rotenfeld;2
DrugojRytsar_2;Undirected;Frants;1
Alber;Undirected;OdinIzRytsarej;1
DrugojRytsar;Undirected;Rotenfeld;1
Rytsari;Undirected;Rytsari_2;1
DrugojRytsar_3;Undirected;Rytsari_2;1
Frants;Undirected;OdinRytsar_2;1
Klotilda;Undirected;Rytsari;1
OdinRytsar;Undirected;Rytsari;1
Alber;Undirected;Rytsari;2
DrugojRytsar_4;Undirected;Rytsar_2;1
DrugojRytsar_3;Undirected;Vassaly;1
Alber;Undirected;OdinRytsar_2;1
OdinRytsar;Undirected;Rotenfeld;1
Frants;Undirected;Rytsar_2;1
DrugojRytsar_4;Undirected;OdinIzRytsarej_2;1
Alber;Undirected;Rytsar;1
DrugojRytsar;Undirected;Frants;1
Alber;Undirected;OdinRytsar;1
Klotilda;Undirected;OdinRytsar_2;1
Rytsari_2;Undirected;Vassaly;1
Klotilda;Undirected;Rytsar_2;1
Alber;Undirected;OdinIzNih;1
DrugojRytsar_3;Undirected;Rytsar;1
Frants;Undirected;Rotenfeld;4
Frants;Undirected;OdinIzNih;1
Rytsar;Undirected;Vassaly;1
DrugojRytsar_4;Undirected;Rytsari;1
OdinIzNih;Undirected;Vassaly;1
OdinIzRytsarej;Undirected;Rytsari_2;1
Frants;Undirected;Vassaly;2
OdinIzRytsarej_2;Undirected;Rytsar_2;1
OdinIzNih;Undirected;Rytsar;1
Alber;Undirected;Frants;5
Alber;Undirected;DrugojRytsar;1
OdinRytsar_2;Undirected;Rytsari_2;1
DrugojRytsar_2;Undirected;Rytsari_2;1
OdinIzRytsarej;Undirected;Rotenfeld;1
Alber;Undirected;DrugojRytsar_4;1
DrugojRytsar;Undirected;Vassaly;1
Frants;Undirected;OdinIzRytsarej_2;1
Rotenfeld;Undirected;Rytsar;1
Frants;Undirected;OdinIzRytsarej;1
Frants;Undirected;OdinRytsar;1
Alber;Undirected;Rytsari_2;2
Rotenfeld;Undirected;Rytsari;2
Klotilda;Undirected;Rytsari_2;1
Rytsar_2;Undirected;Rytsari_2;1
OdinIzNih;Undirected;Rotenfeld;1
DrugojRytsar;Undirected;OdinRytsar;1
Alber;Undirected;Rotenfeld;4
Alber;Undirected;Vassaly;2
Alber;Undirected;DrugojRytsar_2;1
DrugojRytsar_3;Undirected;OdinIzRytsarej;1
DrugojRytsar_2;Undirected;Rotenfeld;1
DrugojRytsar_4;Undirected;OdinRytsar_2;1
Bertold;Undirected;Martyn;2
DrugojRytsar_2;Undirected;OdinIzRytsarej;1
Frants;Undirected;Rytsari;2
OdinRytsar_2;Undirected;Rotenfeld;1
Frants;Undirected;Martyn;1
DrugojRytsar_2;Undirected;OdinIzNih;1
OdinRytsar_2;Undirected;Rytsar_2;1
OdinIzRytsarej_2;Undirected;Rytsari_2;1
Klotilda;Undirected;OdinIzRytsarej_2;1
Rytsar_2;Undirected;Rytsari;1
Rotenfeld;Undirected;Rytsari_2;2
DrugojRytsar_4;Undirected;Klotilda;1
DrugojRytsar_2;Undirected;Vassaly;1
Alber;Undirected;DrugojRytsar_3;1
Rytsari;Undirected;Vassaly;1
Frants;Undirected;Rytsar;1
Frants;Undirected;Rytsari_2;2
OdinIzRytsarej;Undirected;Rytsar;1
OdinIzRytsarej_2;Undirected;OdinRytsar_2;1
Alber;Undirected;Rytsar_2;1
DrugojRytsar_2;Undirected;Rytsar;1
OdinIzRytsarej_2;Undirected;Rotenfeld;1
DrugojRytsar_2;Undirected;DrugojRytsar_3;1
OdinIzRytsarej;Undirected;Vassaly;1
Berta;Undirected;Klotilda;1
DrugojRytsar;Undirected;Rytsari;1
Rotenfeld;Undirected;Vassaly;2
Frants;Undirected;Klotilda;2
OdinRytsar_2;Undirected;Rytsari;1
Rotenfeld;Undirected;Rytsar_2;1
OdinRytsar;Undirected;Vassaly;1
DrugojRytsar_3;Undirected;OdinIzNih;1
OdinIzNih;Undirected;Rytsari_2;1
Frants;Undirected;Kosari;1
DrugojRytsar_4;Undirected;Frants;1
DrugojRytsar_3;Undirected;Frants;1
DrugojRytsar_4;Undirected;Rotenfeld;1
Frants;Undirected;Karl;1
Rytsar;Undirected;Rytsari_2;1
OdinIzRytsarej_2;Undirected;Rytsari;1
OdinIzNih;Undirected;OdinIzRytsarej;1
Alber;Undirected;Klotilda;3
Alber;Undirected;OdinIzRytsarej_2;1
