Source;Type;Target;Weight
Golostretego;Undirected;Prodavschitsaroz;1
Chej-Togolos;Undirected;Cheloveksfakelom;1
Poet;Undirected;Zodchij;2
Chernyj;Undirected;Otdelnyepomerkshiegolosa;1
Golosavtolpe;Undirected;Zodchij;2
Devushka;Undirected;Junosha;1
Devushka;Undirected;Pervyj;1
Chej-Togolos;Undirected;Nischaja;1
Devushka;Undirected;Prodavschitsaroz;1
Otdelnyepomerkshiegolosa;Undirected;Shut;1
Chernyj;Undirected;Golosa;1
Mnogiegolosa;Undirected;Totzheobydennyjgolos;1
Vtorojrabochij;Undirected;Zodchij;1
Poet;Undirected;Vtoroj;2
Prodavschitsaroz;Undirected;Vtoroj;1
Chej-Togolos;Undirected;Chernyj;1
Tretijrabochij;Undirected;Zodchij;1
Nischaja;Undirected;Vtoroj;1
Chernyj;Undirected;Drugojrabochij;1
Golosnischego;Undirected;Otdelnyepomerkshiegolosa;1
Pervyj;Undirected;Vtorojrabochij;2
Drugojrabochij;Undirected;Tretijrabochij;1
Pervyjrabochij;Undirected;Rabochij;1
Golosavtolpe;Undirected;Rabochij;1
Chej-Togolos;Undirected;Ona;1
Poet;Undirected;Shut;2
Golostretego;Undirected;Pervyjrabochij;1
Cheloveksfakelom;Undirected;Golosa;1
Chernyj;Undirected;Mnogiegolosa;1
Rabochij;Undirected;Tretijrabochij;1
Junosha;Undirected;Pervyj;1
Drugojrabochij;Undirected;Poet;1
Cheloveksfakelom;Undirected;Zolotoj;1
Junosha;Undirected;Pervyjrabochij;1
Golosnischego;Undirected;Nischaja;1
Golosa;Undirected;Nischaja;1
Drugojrabochij;Undirected;Zolotoj;1
Chernyj;Undirected;Drugiegolosa;1
Cheloveksfakelom;Undirected;Mnogiegolosa;1
Pervyj;Undirected;Pervyjrabochij;2
Cheloveksfakelom;Undirected;Drugiegolosa;1
Golosa;Undirected;Mnogiegolosa;1
Vtoroj;Undirected;Zolotoj;2
Chernyj;Undirected;Vtorojrabochij;1
Pervyjrabochij;Undirected;Vtorojigolostretego;1
Dochzodchego;Undirected;Golosnischego;1
Dochzodchego;Undirected;Shut;2
Pervyjrabochij;Undirected;Prodavschitsaroz;1
Chej-Togolos;Undirected;Zodchij;1
Drugiegolosa;Undirected;Golosavtolpe;1
Pervyjrabochij;Undirected;Zodchij;1
Golosavtolpe;Undirected;Mnogiegolosa;1
Golosavtolpe;Undirected;Totzheobydennyjgolos;1
Devushka;Undirected;Vtoroj;1
Chernyj;Undirected;Totzheobydennyjgolos;1
Chej-Togolos;Undirected;Pervyj;1
Chernyj;Undirected;Zolotoj;2
Totzheobydennyjgolos;Undirected;Zolotoj;1
Cheloveksfakelom;Undirected;Nischaja;1
Golosnischego;Undirected;Ona;1
Vtoroj;Undirected;Vtorojrabochij;2
Pervyj;Undirected;Shut;2
Dochzodchego;Undirected;Vtorojrabochij;1
Dochzodchego;Undirected;Otdelnyepomerkshiegolosa;1
Junosha;Undirected;Vtoroj;1
Chej-Togolos;Undirected;Otdelnyepomerkshiegolosa;1
Chernyj;Undirected;Nischaja;1
Tretijrabochij;Undirected;Vtoroj;1
Golosavtolpe;Undirected;Zolotoj;2
Cheloveksfakelom;Undirected;Poet;1
Pervyjrabochij;Undirected;Zolotoj;1
Pervyj;Undirected;Zodchij;2
Drugiegolosa;Undirected;Golosnischego;1
Chelovekvchernom;Undirected;Mnogiegolosa;1
Drugiegolosa;Undirected;Totzheobydennyjgolos;1
Chej-Togolos;Undirected;Drugiegolosa;1
Cheloveksfakelom;Undirected;Shut;1
Golosnischego;Undirected;Totzheobydennyjgolos;1
Dochzodchego;Undirected;Zodchij;2
Golosavtolpe;Undirected;Tretijrabochij;1
Rabochij;Undirected;Zolotoj;1
Golosavtolpe;Undirected;Pervyjrabochij;1
Chej-Togolos;Undirected;Vtoroj;1
Drugiegolosa;Undirected;Ona;1
Chernyj;Undirected;Zodchij;2
Drugiegolosa;Undirected;Poet;1
Poet;Undirected;Totzheobydennyjgolos;1
Golosavtolpe;Undirected;Nischaja;1
Dochzodchego;Undirected;Mnogiegolosa;1
Mnogiegolosa;Undirected;Vtoroj;1
Poet;Undirected;Tretijrabochij;1
Devushka;Undirected;Vtorojrabochij;1
Nischaja;Undirected;Zolotoj;1
Chelovekvchernom;Undirected;Zolotoj;1
Golosa;Undirected;Vtoroj;1
Prodavschitsaroz;Undirected;Vtorojigolostretego;1
Chej-Togolos;Undirected;Mnogiegolosa;1
Vtoroj;Undirected;Zodchij;2
Golostretego;Undirected;Vtorojigolostretego;1
Dochzodchego;Undirected;Zolotoj;2
Otdelnyepomerkshiegolosa;Undirected;Poet;1
Chej-Togolos;Undirected;Poet;1
Drugojrabochij;Undirected;Shut;1
Totzheobydennyjgolos;Undirected;Vtoroj;1
Golosa;Undirected;Totzheobydennyjgolos;1
Nischaja;Undirected;Shut;1
Chernyj;Undirected;Vtoroj;2
Cheloveksfakelom;Undirected;Chernyj;1
Cheloveksfakelom;Undirected;Pervyj;1
Devushka;Undirected;Pervyjrabochij;1
Ona;Undirected;Shut;1
Otdelnyepomerkshiegolosa;Undirected;Pervyj;1
Chelovekvchernom;Undirected;Chernyj;1
Tretijrabochij;Undirected;Vtorojrabochij;1
Junosha;Undirected;Vtorojigolostretego;1
Drugiegolosa;Undirected;Nischaja;1
Dochzodchego;Undirected;Rabochij;1
Poet;Undirected;Rabochij;1
Otdelnyepomerkshiegolosa;Undirected;Totzheobydennyjgolos;1
Rabochij;Undirected;Vtorojrabochij;1
Drugojrabochij;Undirected;Pervyj;1
Cheloveksfakelom;Undirected;Totzheobydennyjgolos;1
Ona;Undirected;Pervyj;1
Golosavtolpe;Undirected;Ona;1
Chelovekvchernom;Undirected;Pervyj;1
Shut;Undirected;Vtoroj;2
Nischaja;Undirected;Ona;1
Nischaja;Undirected;Otdelnyepomerkshiegolosa;1
Chernyj;Undirected;Golosnischego;1
Drugiegolosa;Undirected;Golosa;1
Devushka;Undirected;Vtorojigolostretego;1
Golosa;Undirected;Golosavtolpe;1
Chelovekvchernom;Undirected;Golosa;1
Golosa;Undirected;Golosnischego;1
Dochzodchego;Undirected;Golosavtolpe;2
Chej-Togolos;Undirected;Dochzodchego;1
Drugojrabochij;Undirected;Zodchij;1
Ona;Undirected;Totzheobydennyjgolos;1
Junosha;Undirected;Vtorojrabochij;1
Chelovekvchernom;Undirected;Nischaja;1
Golosavtolpe;Undirected;Otdelnyepomerkshiegolosa;1
Otdelnyepomerkshiegolosa;Undirected;Zodchij;1
Pervyjrabochij;Undirected;Poet;1
Chelovekvchernom;Undirected;Drugiegolosa;1
Nischaja;Undirected;Pervyj;1
Chelovekvchernom;Undirected;Golosavtolpe;1
Golosa;Undirected;Otdelnyepomerkshiegolosa;1
Vtoroj;Undirected;Vtorojigolostretego;1
Drugojrabochij;Undirected;Vtoroj;1
Mnogiegolosa;Undirected;Nischaja;1
Golostretego;Undirected;Vtorojrabochij;1
Chej-Togolos;Undirected;Golosavtolpe;1
Chelovekvchernom;Undirected;Vtoroj;1
Cheloveksfakelom;Undirected;Ona;1
Drugojrabochij;Undirected;Vtorojrabochij;1
Pervyjrabochij;Undirected;Tretijrabochij;1
Golosavtolpe;Undirected;Shut;2
Prodavschitsaroz;Undirected;Vtorojrabochij;1
Golostretego;Undirected;Pervyj;1
Chelovekvchernom;Undirected;Totzheobydennyjgolos;1
Cheloveksfakelom;Undirected;Golosnischego;1
Chej-Togolos;Undirected;Totzheobydennyjgolos;1
Pervyj;Undirected;Rabochij;1
Shut;Undirected;Tretijrabochij;1
Pervyjrabochij;Undirected;Vtorojrabochij;2
Drugiegolosa;Undirected;Otdelnyepomerkshiegolosa;1
Pervyj;Undirected;Totzheobydennyjgolos;1
Chej-Togolos;Undirected;Chelovekvchernom;1
Pervyj;Undirected;Poet;2
Cheloveksfakelom;Undirected;Zodchij;1
Rabochij;Undirected;Shut;1
Tretijrabochij;Undirected;Zolotoj;1
Drugojrabochij;Undirected;Pervyjrabochij;1
Cheloveksfakelom;Undirected;Dochzodchego;1
Golosnischego;Undirected;Shut;1
Golosnischego;Undirected;Zodchij;1
Dochzodchego;Undirected;Vtoroj;2
Chej-Togolos;Undirected;Shut;1
Dochzodchego;Undirected;Poet;2
Cheloveksfakelom;Undirected;Vtoroj;1
Dochzodchego;Undirected;Pervyjrabochij;1
Rabochij;Undirected;Vtoroj;1
Drugiegolosa;Undirected;Vtoroj;1
Mnogiegolosa;Undirected;Zolotoj;1
Golosavtolpe;Undirected;Golosnischego;1
Pervyj;Undirected;Zolotoj;2
Golosnischego;Undirected;Vtoroj;1
Otdelnyepomerkshiegolosa;Undirected;Zolotoj;1
Chej-Togolos;Undirected;Golosnischego;1
Zodchij;Undirected;Zolotoj;2
Ona;Undirected;Zolotoj;1
Drugiegolosa;Undirected;Zodchij;1
Chernyj;Undirected;Poet;2
Golosa;Undirected;Pervyj;1
Shut;Undirected;Totzheobydennyjgolos;1
Nischaja;Undirected;Totzheobydennyjgolos;1
Chernyj;Undirected;Rabochij;1
Drugiegolosa;Undirected;Zolotoj;1
Otdelnyepomerkshiegolosa;Undirected;Vtoroj;1
