"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Stalverh";0;0,0526315789473684;5;3;19;0,378787878787879
"2";"Strazhgradskihvorot";0;0,0526315789473684;3;3;19;0,378787878787879
"3";"Edinyjvoin";0;0,0555555555555556;4;4;18;0,378787878787879
"4";"Astrada";0;0,0526315789473684;6;3;19;0,378787878787879
"5";"Kij";36;0,0909090909090909;18;11;11;0,378787878787879
"6";"Osnelda";0,333333333333333;0,0555555555555556;10;4;18;0,378787878787879
"7";"Velkar";2,66666666666667;0,0625;9;6;16;0,378787878787879
"8";"Horev";2;0,0625;13;6;16;0,378787878787879
"9";"Poslannyj";0;0,05;2;2;20;0,378787878787879
"10";"Strazhtemnits";0;0,0526315789473684;3;3;19;0,378787878787879
"11";"Zavloh";0;0,0555555555555556;6;4;18;0,378787878787879
"12";"Nevolnik";0;0,0476190476190476;1;1;21;0,378787878787879
