"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density"
"1";"Drugojvoin";0;0,0666666666666667;4;4;15;0,466666666666667
"2";"Oleg";9;0,0769230769230769;17;5;13;0,466666666666667
"3";"Oskold";6,33333333333333;0,0909090909090909;15;7;11;0,466666666666667
"4";"Rostislav";0,666666666666667;0,0714285714285714;17;4;14;0,466666666666667
"5";"Izbrana";0;0,0588235294117647;6;2;17;0,466666666666667
"6";"Semira";11,3333333333333;0,1;28;8;10;0,466666666666667
"7";"Pervyjvoin";0;0,0666666666666667;4;4;15;0,466666666666667
"8";"Voin";0,666666666666667;0,0714285714285714;6;5;14;0,466666666666667
"9";"Vitozar";0;0,0625;2;2;16;0,466666666666667
"10";"Vozved";0;0,0476190476190476;1;1;21;0,466666666666667
