"";"name";"betweenness";"closeness";"strength";"degree";"average_distance";"graph_density";"file";"author"
"1";"Golostretego";0;0,02;8;8;50;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"2";"Chej-Togolos";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"3";"Poet";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"4";"Chernyj";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"5";"Golosavtolpe";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"6";"Devushka";0;0,02;8;8;50;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"7";"Otdelnyepomerkshiegolosa";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"8";"Mnogiegolosa";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"9";"Vtorojrabochij";12,5;0,025;21;18;40;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"10";"Prodavschitsaroz";0;0,02;8;8;50;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"11";"Tretijrabochij";0;0,0222222222222222;13;13;45;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"12";"Nischaja";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"13";"Golosnischego";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"14";"Pervyj";46,1111111111111;0,0344827586206897;40;29;29;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"15";"Drugojrabochij";0;0,0222222222222222;13;13;45;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"16";"Pervyjrabochij";12,5;0,025;21;18;40;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"17";"Cheloveksfakelom";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"18";"Rabochij";0;0,0222222222222222;13;13;45;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"19";"Junosha";0;0,02;8;8;50;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"20";"Golosa";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"21";"Vtoroj";46,1111111111111;0,0344827586206897;40;29;29;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"22";"Dochzodchego";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"23";"Drugiegolosa";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"24";"Totzheobydennyjgolos";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"25";"Chelovekvchernom";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"26";"Ona";0;0,0256410256410256;19;19;39;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"27";"Shut";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"28";"Zodchij";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"29";"Vtorojigolostretego";0;0,02;8;8;50;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"30";"Zolotoj";6,11111111111111;0,0294117647058824;32;24;34;0,632183908045977;"Blok_-_Korol_na_ploschadi.csv";"Blok"
"31";"Hozjain";60;0,025;37;34;40;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"32";"Drugoj";60;0,025;37;34;40;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"33";"Seminarist";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"34";"Devushka";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"35";"Kto-To";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"36";"Molodojchelovek";60;0,025;37;34;40;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"37";"Pervyjsobutylnik";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"38";"Sobesednik";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"39";"Hozjajka";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"40";"Chelovekvpalto";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"41";"Molodojchelovekmisha";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"42";"Ryzhijgospodin";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"43";"Starik";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"44";"Egosobesednik";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"45";"Pervyj";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"46";"Tretijusatyj";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"47";"Goloshozjaina";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"48";"Odin";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"49";"Goluboj";0;0,0144927536231884;5;5;69;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"50";"Gauptman";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"51";"Golosgostja";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"52";"Muzhchina";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"53";"Dama";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"54";"Gost";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"55";"Molodojchelovekzhorzh";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"56";"Neznakomka";16;0,0188679245283019;23;21;53;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"57";"Razjarennyedvorniki";0;0,0144927536231884;5;5;69;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"58";"Hozjaindoma";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"59";"Misha";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"60";"Sobutylnik";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"61";"Polovoj";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"62";"Gospodin";0;0,0144927536231884;5;5;69;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"63";"Verlen";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"64";"Poet";124;0,027027027027027;42;37;37;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"65";"Zhorzh";0;0,0178571428571429;18;18;56;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"66";"Vtoroj";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"67";"Vtorojsobutylnik";0;0,0181818181818182;19;19;55;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"68";"Zvezdochet";16;0,0188679245283019;23;21;53;0,522048364153627;"Blok_-_Neznakomka.csv";"Blok"
"69";"Shejh";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"70";"Kalif";0;0,032258064516129;7;7;31;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"71";"Beduin";3;0,0357142857142857;13;10;28;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"72";"Angel";0;0,03125;6;6;32;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"73";"Kadi";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"74";"Dervish";31,5;0,0526315789473684;24;19;19;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"75";"Glashataj";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"76";"Iskander";0;0,032258064516129;7;7;31;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"77";"Gafiz";0;0,03125;6;6;32;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"78";"Astrolog";15;0,0454545454545455;18;16;22;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"79";"Pirat";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"80";"Sindbad";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"81";"Junosha";3;0,0357142857142857;13;10;28;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"82";"Peri";31,5;0,0526315789473684;24;19;19;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"83";"Staruha";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"84";"PervyjJevnuh";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"85";"Synkalifa";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"86";"Rab";0;0,032258064516129;7;7;31;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"87";"VtorojJevnuh";0;0,037037037037037;11;11;27;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"88";"Ptitsy";0;0,03125;6;6;32;0,557894736842105;"Gumilyov_-_Ditja_Allaha.csv";"Gumilyov"
"89";"Grubbe";0;0,125;50;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"90";"SnorreGrubbeiahti";0;0,125;12;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"91";"Konung";0;0,125;27;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"92";"Lera";0;0,125;30;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"93";"Lage";0;0,125;47;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"94";"Ahti";0;0,125;46;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"95";"Gondla";0;0,125;39;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"96";"Snorre";0;0,125;50;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"97";"Vozhd";0;0,125;25;8;8;1;"Gumilyov_-_Gondla.csv";"Gumilyov"
"98";"Tsyganka";0;0,125;10;6;8;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"99";"Chernavka";0;0,125;11;6;8;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"100";"Podschipa";0,75;0,142857142857143;30;7;7;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"101";"Pazh";0;0,1;7;4;10;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"102";"Durduran";0,75;0,142857142857143;21;7;7;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"103";"Sljunjaj";0,75;0,142857142857143;21;7;7;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"104";"Trumf";0;0,125;17;6;8;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"105";"Vakula";0,75;0,142857142857143;23;7;7;0,892857142857143;"Krylov_-_Podschipa_ili_Trumf.csv";"Krylov"
"106";"Hor";0;0,0294117647058824;6;6;34;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"107";"Graf";0;0,0434782608695652;49;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"108";"Nineta";10,5;0,05;26;20;20;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"109";"Oba";0;0,0434782608695652;28;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"110";"Paulin";0;0,0434782608695652;41;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"111";"Filipp";0;0,0434782608695652;46;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"112";"Filippiblez";0;0,0434782608695652;17;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"113";"Zhaneta";10,5;0,05;27;20;20;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"114";"ZhuletaZhanetainineta";0;0,0434782608695652;17;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"115";"NinetaGraf";0;0,0434782608695652;17;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"116";"Blez";10,5;0,05;41;20;20;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"117";"Blezifilipp";0;0,0434782608695652;17;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"118";"Muzhiki";0;0,0294117647058824;6;6;34;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"119";"Zhanetainineta";0;0,0434782608695652;17;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"120";"Zhuleta";0;0,0434782608695652;44;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"121";"Vmeste";0;0,0434782608695652;17;17;23;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
"122";"Vse";10,5;0,05;33;20;20;0,8;"Krylov_-_Sonnyj_poroshok_ili_pohischennaja_krestjanka.csv";"Krylov"
