Source;Type;Target;Weight
Efimovna;Undirected;GolosIzUgla;3
Bortsov;Undirected;Savva;3
Nazarovna;Undirected;Savva;2
Kuzma;Undirected;Tihon;1
Efimovna;Undirected;Nazarovna;2
MarjaEgorovna;Undirected;Merik;1
Bortsov;Undirected;Nazarovna;3
Efimovna;Undirected;Merik;2
Kucher;Undirected;Tihon;2
MarjaEgorovna;Undirected;Tihon;1
Bortsov;Undirected;GolosIzUgla;3
Bortsov;Undirected;Fedja;3
GolosIzUgla;Undirected;Merik;2
Kucher;Undirected;Merik;1
Kuzma;Undirected;Merik;1
Efimovna;Undirected;Kucher;1
Fedja;Undirected;Tihon;4
Bortsov;Undirected;Kuzma;1
Efimovna;Undirected;Savva;3
Fedja;Undirected;Kuzma;1
Savva;Undirected;Tihon;3
Kuzma;Undirected;Savva;1
Bortsov;Undirected;Tihon;4
MarjaEgorovna;Undirected;Nazarovna;1
Bortsov;Undirected;Merik;3
GolosIzUgla;Undirected;Savva;3
Merik;Undirected;Nazarovna;2
Bortsov;Undirected;Efimovna;3
GolosIzUgla;Undirected;Tihon;3
Kucher;Undirected;Savva;1
GolosIzUgla;Undirected;Kucher;1
GolosIzUgla;Undirected;Kuzma;1
Efimovna;Undirected;Kuzma;1
Nazarovna;Undirected;Tihon;3
Merik;Undirected;Tihon;3
GolosIzUgla;Undirected;Nazarovna;2
Fedja;Undirected;Nazarovna;2
Efimovna;Undirected;Tihon;3
Kucher;Undirected;Kuzma;1
Fedja;Undirected;Merik;2
Fedja;Undirected;Kucher;2
Bortsov;Undirected;MarjaEgorovna;1
Merik;Undirected;Savva;2
Efimovna;Undirected;Fedja;3
Bortsov;Undirected;Kucher;1
Fedja;Undirected;Savva;3
Fedja;Undirected;GolosIzUgla;3
