Source;Type;Target;Weight
Djakon;Undirected;Komik;1
Baryshnja;Undirected;VTolpe;1
Olenina;Undirected;Sabinin;1
MolodojAkter;Undirected;OAleksej;1
Kokoshkin;Undirected;ONikolaj;1
Sabinin;Undirected;Student;1
Hor;Undirected;MolodojAkter;1
ArhierejskijHor;Undirected;Damy;1
Hor;Undirected;Zonenshtejn;1
Djakon;Undirected;Matveev;1
Patronnikov;Undirected;TovarischProkurora;1
Baryshnja;Undirected;Kotelnikov;1
Kokoshkina;Undirected;TovarischProkurora;1
Kotelnikov;Undirected;Matveev;1
Kuzma;Undirected;OAleksej;1
Hor;Undirected;ONikolaj;1
ArhierejskijHor;Undirected;OAleksej;1
MolodojAkter;Undirected;OfitserIzTolpy;1
Kto-to;Undirected;SobornyjHor;1
Kotelnikov;Undirected;OAleksej;1
Kokoshkin;Undirected;TovarischProkurora;1
Damy;Undirected;Djachok;1
Djachok;Undirected;ONikolaj;1
Hor;Undirected;Olenina;1
ArhierejskijHor;Undirected;Matveev;1
Komik;Undirected;VTolpe;1
Kotelnikov;Undirected;SobornyjHor;1
Student;Undirected;Volgin;1
OIvan;Undirected;ONikolaj;1
Kokoshkina;Undirected;Olenina;1
OfitserIzTolpy;Undirected;TovarischProkurora;1
Djachok;Undirected;Olenina;1
Matveev;Undirected;ONikolaj;1
ONikolaj;Undirected;Zonenshtejn;1
Kokoshkina;Undirected;OfitserIzTolpy;1
Kokoshkin;Undirected;Kto-to;1
Kto-to;Undirected;Sabinin;1
Kokoshkin;Undirected;MolodojAkter;1
Kto-to;Undirected;Matveev;1
MolodojAkter;Undirected;OIvan;1
Djakon;Undirected;Volgin;1
OIvan;Undirected;Zonenshtejn;1
Kokoshkina;Undirected;OIvan;1
Baryshnja;Undirected;SobornyjHor;1
Kokoshkin;Undirected;VTolpe;1
MolodojAkter;Undirected;Volgin;1
Baryshnja;Undirected;Matveev;1
Kokoshkina;Undirected;Matveev;1
Kokoshkina;Undirected;Student;1
ArhierejskijHor;Undirected;Sabinin;1
Hor;Undirected;Sabinin;1
Kokoshkina;Undirected;ONikolaj;1
OAleksej;Undirected;Sabinin;1
TovarischProkurora;Undirected;Volgin;1
OfitserIzTolpy;Undirected;Sabinin;1
ArhierejskijHor;Undirected;Kokoshkin;1
Kokoshkina;Undirected;SobornyjHor;1
Kokoshkin;Undirected;Patronnikov;1
Matveev;Undirected;Sabinin;1
Kokoshkin;Undirected;OfitserIzTolpy;1
Damy;Undirected;ONikolaj;1
Kokoshkin;Undirected;Matveev;1
Komik;Undirected;Zonenshtejn;1
Hor;Undirected;Patronnikov;1
Djakon;Undirected;OIvan;1
ONikolaj;Undirected;Sabinin;1
Hor;Undirected;Kotelnikov;1
ArhierejskijHor;Undirected;Komik;1
Kto-to;Undirected;OIvan;1
Komik;Undirected;Olenina;1
Damy;Undirected;OfitserIzTolpy;1
Kto-to;Undirected;ONikolaj;1
Baryshnja;Undirected;OfitserIzTolpy;1
ArhierejskijHor;Undirected;Kotelnikov;1
Kokoshkina;Undirected;Kto-to;1
Hor;Undirected;Kokoshkin;1
Kotelnikov;Undirected;VTolpe;1
Matveev;Undirected;Zonenshtejn;1
Damy;Undirected;Olenina;1
Kto-to;Undirected;MolodojAkter;1
OAleksej;Undirected;OIvan;3
Kokoshkina;Undirected;MolodojAkter;1
Hor;Undirected;Student;1
Matveev;Undirected;Student;1
Damy;Undirected;Komik;1
ArhierejskijHor;Undirected;VTolpe;1
Hor;Undirected;VTolpe;1
Matveev;Undirected;TovarischProkurora;1
Olenina;Undirected;Student;1
Hor;Undirected;Kokoshkina;1
Djachok;Undirected;SobornyjHor;1
MolodojAkter;Undirected;TovarischProkurora;1
Baryshnja;Undirected;Student;1
Student;Undirected;TovarischProkurora;1
SobornyjHor;Undirected;Zonenshtejn;1
Patronnikov;Undirected;SobornyjHor;1
Matveev;Undirected;SobornyjHor;1
Matveev;Undirected;VTolpe;1
Djachok;Undirected;Sabinin;1
Djachok;Undirected;TovarischProkurora;1
OIvan;Undirected;VTolpe;1
Olenina;Undirected;TovarischProkurora;1
Kotelnikov;Undirected;Zonenshtejn;1
Baryshnja;Undirected;ONikolaj;1
ArhierejskijHor;Undirected;ONikolaj;1
Olenina;Undirected;Zonenshtejn;1
ArhierejskijHor;Undirected;Djachok;1
MolodojAkter;Undirected;Sabinin;1
Komik;Undirected;Sabinin;1
Kokoshkin;Undirected;Volgin;1
Komik;Undirected;ONikolaj;1
ArhierejskijHor;Undirected;OfitserIzTolpy;1
Komik;Undirected;Patronnikov;1
Damy;Undirected;Volgin;1
Djakon;Undirected;MolodojAkter;1
Damy;Undirected;OIvan;1
Damy;Undirected;Kokoshkina;1
Damy;Undirected;Student;1
Damy;Undirected;Kokoshkin;1
Kto-to;Undirected;Patronnikov;1
ArhierejskijHor;Undirected;Kokoshkina;1
SobornyjHor;Undirected;VTolpe;1
ArhierejskijHor;Undirected;Kto-to;1
Kotelnikov;Undirected;Sabinin;1
Djachok;Undirected;Kuzma;1
Sabinin;Undirected;Volgin;1
Baryshnja;Undirected;OIvan;1
Kotelnikov;Undirected;OfitserIzTolpy;1
Djakon;Undirected;Patronnikov;1
ONikolaj;Undirected;Patronnikov;1
Djachok;Undirected;Kokoshkin;1
Kokoshkin;Undirected;OAleksej;1
Djakon;Undirected;Sabinin;1
MolodojAkter;Undirected;Student;1
Djachok;Undirected;Volgin;1
Komik;Undirected;TovarischProkurora;1
Djachok;Undirected;Kotelnikov;1
OIvan;Undirected;OfitserIzTolpy;1
OfitserIzTolpy;Undirected;Patronnikov;1
DamaVChernom;Undirected;OIvan;1
