Source;Type;Target;Weight
Elvira;Undirected;HorMuzhchin;1
Ferdinand;Undirected;Tsimara;1
Atsem;Undirected;Gusman;8
Atsem;Undirected;HorZhenschin;1
Atsem;Undirected;Soreta;5
Atsem;Undirected;HorMuzhchin;1
Folet;Undirected;Tsimara;6
Folet;Undirected;Soreta;9
Atsem;Undirected;Folet;8
Folet;Undirected;Gusman;11
Folet;Undirected;Hor;2
HorMuzhchin;Undirected;HorZhenschin;1
Elvira;Undirected;Tsimara;3
Soreta;Undirected;Tsimara;6
Atsem;Undirected;Elvira;5
Elvira;Undirected;Gusman;3
Gusman;Undirected;Tsimara;7
Gusman;Undirected;Hor;2
Elvira;Undirected;Hor;1
Ferdinand;Undirected;Gusman;1
Elvira;Undirected;Folet;2
Gusman;Undirected;Soreta;5
Elvira;Undirected;Soreta;2
Elvira;Undirected;HorZhenschin;1
Atsem;Undirected;Tsimara;5
Atsem;Undirected;Hor;2
