Source;Type;Target;Weight
Hor;Undirected;Zhaneta;1
Hor;Undirected;Vse;1
Graf;Undirected;Vse;3
Nineta;Undirected;Zhuletainineta;1
Oba;Undirected;Vmeste;1
Paulin;Undirected;ZhuletaZhanetainineta;1
Filipp;Undirected;Zhaneta;1
Filippiblez;Undirected;Paulin;1
Graf;Undirected;Zhuleta;8
Zhaneta;Undirected;Zhuleta;1
ZhuletaZhanetainineta;Undirected;Zhuletainineta;1
Filipp;Undirected;Nineta;1
Oba;Undirected;Zhanetainineta;1
NinetaGraf;Undirected;Paulin;1
Filipp;Undirected;Paulin;6
Blez;Undirected;Vse;3
Blez;Undirected;Filippiblez;1
Blezifilipp;Undirected;Nineta;1
Nineta;Undirected;Oba;1
Muzhiki;Undirected;Zhaneta;1
Filippiblez;Undirected;Graf;1
Zhanetainineta;Undirected;Zhuleta;1
Filippiblez;Undirected;Vse;1
Zhuleta;Undirected;Zhuletaizhaneta;1
Blez;Undirected;Muzhiki;1
Blezifilipp;Undirected;Oba;1
Filipp;Undirected;Zhuletaizhaneta;1
Vmeste;Undirected;ZhuletaZhanetainineta;1
Zhanetainineta;Undirected;ZhuletaZhanetainineta;1
Oba;Undirected;Zhuleta;4
Filipp;Undirected;Zhanetaipaulin;1
Oba;Undirected;Vse;2
Blez;Undirected;Graf;5
Vse;Undirected;Zhaneta;2
Paulin;Undirected;Zhanetainineta;1
Filipp;Undirected;Oba;4
Graf;Undirected;NinetaGraf;1
Rabotnikiidocheribleza;Undirected;Vse;1
Muzhiki;Undirected;Vse;1
Filipp;Undirected;Vmeste;1
Oba;Undirected;Zhuletainineta;1
ZhuletaZhanetainineta;Undirected;Zhuletaizhaneta;1
Zhaneta;Undirected;Zhuletainineta;1
Zhuletainineta;Undirected;Zhuletaizhaneta;1
Paulin;Undirected;Zhuletainineta;1
NinetaGraf;Undirected;Zhanetainineta;1
Vmeste;Undirected;Zhuletaizhaneta;1
Blez;Undirected;Hor;1
Blezifilipp;Undirected;Zhuletainineta;1
Graf;Undirected;Zhuletaizhaneta;1
Paulin;Undirected;Vmeste;1
Filipp;Undirected;Zhanetainineta;1
Graf;Undirected;Paulin;9
Vse;Undirected;Zhuletainineta;1
Filippiblez;Undirected;Oba;1
Blez;Undirected;NinetaGraf;1
Oba;Undirected;ZhuletaZhanetainineta;1
Nineta;Undirected;ZhuletaZhanetainineta;1
Blez;Undirected;Zhaneta;3
Blezifilipp;Undirected;Vmeste;1
Blez;Undirected;Rabotnikiidocheribleza;1
Blezifilipp;Undirected;Vse;1
Blezifilipp;Undirected;Zhanetaipaulin;1
Blezifilipp;Undirected;NinetaGraf;1
Nineta;Undirected;Zhuleta;1
Paulin;Undirected;Zhaneta;2
Zhaneta;Undirected;Zhanetainineta;1
Paulin;Undirected;Zhanetaipaulin;1
Vse;Undirected;Zhanetainineta;1
Blezifilipp;Undirected;ZhuletaZhanetainineta;1
Rabotnikiidocheribleza;Undirected;Zhaneta;1
Blez;Undirected;Zhanetainineta;1
Nineta;Undirected;Rabotnikiidocheribleza;1
Nineta;Undirected;Zhanetaipaulin;1
Blezifilipp;Undirected;Filipp;1
Filipp;Undirected;Filippiblez;1
Paulin;Undirected;Zhuletaizhaneta;1
Blezifilipp;Undirected;Zhuletaizhaneta;1
Blezifilipp;Undirected;Zhaneta;1
Blez;Undirected;Blezifilipp;1
Vmeste;Undirected;Zhuleta;1
Nineta;Undirected;Zhanetainineta;1
Nineta;Undirected;Zhaneta;3
Filipp;Undirected;Vse;3
Filipp;Undirected;Zhuleta;8
Blez;Undirected;Vmeste;1
Filipp;Undirected;NinetaGraf;1
Hor;Undirected;Nineta;1
Blez;Undirected;Oba;2
Vmeste;Undirected;Zhuletainineta;1
Blezifilipp;Undirected;Zhuleta;1
Zhanetainineta;Undirected;Zhuletainineta;1
Blez;Undirected;ZhuletaZhanetainineta;1
Muzhiki;Undirected;Rabotnikiidocheribleza;1
Filippiblez;Undirected;Zhuleta;1
Muzhiki;Undirected;Nineta;1
Vse;Undirected;Zhanetaipaulin;1
NinetaGraf;Undirected;Zhaneta;1
Blez;Undirected;Filipp;6
Oba;Undirected;Paulin;2
Graf;Undirected;Oba;3
Graf;Undirected;Zhaneta;2
NinetaGraf;Undirected;Zhuletainineta;1
Blez;Undirected;Nineta;3
Filippiblez;Undirected;Zhaneta;1
Filippiblez;Undirected;Zhuletaizhaneta;1
Filippiblez;Undirected;NinetaGraf;1
Vmeste;Undirected;Vse;1
Oba;Undirected;Zhuletaizhaneta;1
Vmeste;Undirected;Zhanetainineta;1
NinetaGraf;Undirected;ZhuletaZhanetainineta;1
Nineta;Undirected;Vmeste;1
Zhuleta;Undirected;ZhuletaZhanetainineta;1
NinetaGraf;Undirected;Oba;1
Blez;Undirected;Zhuletainineta;1
Blez;Undirected;Zhanetaipaulin;1
Zhaneta;Undirected;Zhanetaipaulin;1
Nineta;Undirected;Paulin;1
Blezifilipp;Undirected;Graf;1
Graf;Undirected;Nineta;2
Vse;Undirected;Zhuleta;3
Oba;Undirected;Zhaneta;1
Filippiblez;Undirected;Nineta;1
Nineta;Undirected;Zhuletaizhaneta;1
Nineta;Undirected;NinetaGraf;1
Blezifilipp;Undirected;Filippiblez;1
Blez;Undirected;Paulin;3
Blez;Undirected;Zhuletaizhaneta;1
Graf;Undirected;Zhanetainineta;1
Paulin;Undirected;Vse;3
NinetaGraf;Undirected;Zhuleta;1
Filippiblez;Undirected;Zhuletainineta;1
NinetaGraf;Undirected;Zhuletaizhaneta;1
Filippiblez;Undirected;Zhanetaipaulin;1
Zhanetainineta;Undirected;Zhuletaizhaneta;1
Zhanetaipaulin;Undirected;Zhuletainineta;1
Oba;Undirected;Zhanetaipaulin;1
Zhaneta;Undirected;ZhuletaZhanetainineta;1
Filippiblez;Undirected;Vmeste;1
Filipp;Undirected;Graf;8
NinetaGraf;Undirected;Zhanetaipaulin;1
Blezifilipp;Undirected;Paulin;1
Nineta;Undirected;Vse;2
Hor;Undirected;Muzhiki;1
Zhanetainineta;Undirected;Zhanetaipaulin;1
Zhaneta;Undirected;Zhuletaizhaneta;1
Graf;Undirected;Vmeste;1
Vmeste;Undirected;Zhaneta;1
Blez;Undirected;Zhuleta;4
Vmeste;Undirected;Zhanetaipaulin;1
NinetaGraf;Undirected;Vmeste;1
Filippiblez;Undirected;Zhanetainineta;1
Vse;Undirected;ZhuletaZhanetainineta;1
Graf;Undirected;Zhanetaipaulin;1
Paulin;Undirected;Zhuleta;6
NinetaGraf;Undirected;Vse;1
Graf;Undirected;Zhuletainineta;1
Filipp;Undirected;ZhuletaZhanetainineta;1
Blezifilipp;Undirected;Zhanetainineta;1
Zhanetaipaulin;Undirected;Zhuleta;1
Zhuleta;Undirected;Zhuletainineta;1
Graf;Undirected;ZhuletaZhanetainineta;1
Hor;Undirected;Rabotnikiidocheribleza;1
Filippiblez;Undirected;ZhuletaZhanetainineta;1
Vse;Undirected;Zhuletaizhaneta;1
Filipp;Undirected;Zhuletainineta;1
Zhanetaipaulin;Undirected;ZhuletaZhanetainineta;1
Zhanetaipaulin;Undirected;Zhuletaizhaneta;1
