Source;Type;Target;Weight
Starosta;Undirected;Stoljar;2
Pavlin;Undirected;Vlas;1
Glafira;Undirected;Lynjaev;8
Murzavetskij;Undirected;Pavlin;3
Berkutov;Undirected;Murzavetskaja;4
Kupavina;Undirected;Pavlin;1
Kupavina;Undirected;Lakej;3
Golosa;Undirected;Podrjadchik;1
Anfusa;Undirected;Chugunov;1
Podrjadchik;Undirected;Starosta;2
Lynjaev;Undirected;Murzavetskij;1
Maljar;Undirected;Stoljar;2
Chugunov;Undirected;Murzavetskaja;6
PervyjKrestjanin;Undirected;Starosta;1
Pavlin;Undirected;VtotojKrestjanin;1
Golosa;Undirected;Stoljar;1
Chugunov;Undirected;Goretskij;1
Glafira;Undirected;Murzavetskij;1
Chugunov;Undirected;Podrjadchik;1
Berkutov;Undirected;Lynjaev;4
Kupavina;Undirected;Murzavetskij;4
Glafira;Undirected;Kupavina;6
Maljar;Undirected;PervyjKrestjanin;1
Anfusa;Undirected;Berkutov;3
Berkutov;Undirected;Goretskij;1
Berkutov;Undirected;Kupavina;8
Pavlin;Undirected;Starosta;2
PervyjKrestjanin;Undirected;Podrjadchik;1
Golosa;Undirected;Maljar;1
Golosa;Undirected;Starosta;1
Anfusa;Undirected;Kupavina;9
Berkutov;Undirected;Lakej;2
Pavlin;Undirected;PervyjKrestjanin;1
Berkutov;Undirected;Chugunov;3
Podrjadchik;Undirected;VtotojKrestjanin;1
Stoljar;Undirected;VtotojKrestjanin;1
Pavlin;Undirected;Stoljar;2
PervyjKrestjanin;Undirected;Stoljar;1
Pavlin;Undirected;Podrjadchik;2
Chugunov;Undirected;Murzavetskij;2
Lakej;Undirected;Lynjaev;1
Maljar;Undirected;Podrjadchik;2
Maljar;Undirected;Pavlin;2
Kupavina;Undirected;Murzavetskaja;8
Golosa;Undirected;Pavlin;1
Anfusa;Undirected;Murzavetskij;4
Chugunov;Undirected;Lynjaev;1
Anfusa;Undirected;Lynjaev;8
Kupavina;Undirected;Lynjaev;7
Chugunov;Undirected;Stoljar;1
Golosa;Undirected;PervyjKrestjanin;1
Golosa;Undirected;VtotojKrestjanin;1
Murzavetskij;Undirected;Vlas;1
Anfusa;Undirected;Pavlin;1
Lynjaev;Undirected;Pavlin;1
Glafira;Undirected;Lakej;2
Chugunov;Undirected;Maljar;1
Starosta;Undirected;VtotojKrestjanin;1
Anfusa;Undirected;Murzavetskaja;6
Glafira;Undirected;Pavlin;2
Berkutov;Undirected;Pavlin;1
Glafira;Undirected;Goretskij;1
Lynjaev;Undirected;Murzavetskaja;2
Glafira;Undirected;Murzavetskaja;2
PervyjKrestjanin;Undirected;VtotojKrestjanin;1
Berkutov;Undirected;Glafira;2
Chugunov;Undirected;Pavlin;6
Chugunov;Undirected;Starosta;1
Anfusa;Undirected;Glafira;3
Murzavetskaja;Undirected;Murzavetskij;7
Maljar;Undirected;Starosta;2
Chugunov;Undirected;Glafira;1
Murzavetskaja;Undirected;Pavlin;6
Chugunov;Undirected;Kupavina;3
Maljar;Undirected;VtotojKrestjanin;1
Goretskij;Undirected;Lynjaev;1
Podrjadchik;Undirected;Stoljar;2
