Source;Type;Target;Weight
Shishkengolymiminahristianovna;Undirected;Vse;1
ShishkengolmMinahristianovnailiza;Undirected;Vihorinikasimov;1
Hor;Undirected;Vse;2
Liza;Undirected;Shishkengolm;2
Minahristianovna;Undirected;Shishkengolm;1
Liza;Undirected;Shishkengolymiminahristianovna;1
Kasimovivihorin;Undirected;Vihorin;1
Hor;Undirected;Ivanov;2
Vihorinikasimov;Undirected;Vse;1
Hor;Undirected;Minahristianovna;1
Kasimov;Undirected;Vihorinikasimov;1
Shishkengolm;Undirected;Vihorin;1
Ivanov;Undirected;Shishkengolymiminahristianovna;1
Liza;Undirected;Minahristianovna;1
Kasimov;Undirected;Vihorin;1
Hor;Undirected;Kasimovivihorin;2
Hor;Undirected;Vihorinikasimov;1
Minahristianovna;Undirected;Shishkengolmiminahristianovna;1
Shishkengolmiprochie;Undirected;Shishkengolymiminahristianovna;1
Ivanov;Undirected;Shishkengolmiminahristianovna;2
Vihorin;Undirected;Vihorinikasimov;1
Kasimov;Undirected;Vse;1
Kasimovivihorin;Undirected;Shishkengolmiprochie;1
ShishkengolmMinahristianovnailiza;Undirected;Vihorin;1
Shishkengolmiminahristianovna;Undirected;Vse;2
Kurtsgalop;Undirected;Liza;1
Kasimovivihorin;Undirected;Shishkengolmiminahristianovna;2
Kurtsgalop;Undirected;Shishkengolymiminahristianovna;1
Liza;Undirected;Vse;2
Minahristianovna;Undirected;Vihorin;1
Kasimovivihorin;Undirected;Liza;2
Ivanov;Undirected;Liza;2
Liza;Undirected;Vihorin;1
Kasimovivihorin;Undirected;Shishkengolymiminahristianovna;1
Kurtsgalop;Undirected;Vse;1
Ivanov;Undirected;Kasimov;2
Hor;Undirected;Kasimov;1
Kasimovivihorin;Undirected;Shishkengolm;2
Ivanov;Undirected;Vse;2
Kasimovivihorin;Undirected;Vihorinikasimov;1
Kurtsgalop;Undirected;Shishkengolmiprochie;1
Hor;Undirected;ShishkengolmMinahristianovnailiza;1
Shishkengolm;Undirected;ShishkengolmMinahristianovnailiza;1
Liza;Undirected;Shishkengolmiprochie;1
Kasimov;Undirected;ShishkengolmMinahristianovnailiza;1
Hor;Undirected;Liza;2
Shishkengolmiminahristianovna;Undirected;Shishkengolymiminahristianovna;1
Kasimovivihorin;Undirected;Kurtsgalop;1
Hor;Undirected;Vihorin;1
Vihorin;Undirected;Vse;1
Kurtsgalop;Undirected;Shishkengolmiminahristianovna;1
Minahristianovna;Undirected;ShishkengolmMinahristianovnailiza;1
Ivanov;Undirected;Vihorin;1
Shishkengolmiprochie;Undirected;Vse;1
ShishkengolmMinahristianovnailiza;Undirected;Vse;1
ShishkengolmMinahristianovnailiza;Undirected;Shishkengolmiminahristianovna;1
Liza;Undirected;Vihorinikasimov;1
Minahristianovna;Undirected;Vse;1
Minahristianovna;Undirected;Vihorinikasimov;1
Shishkengolmiminahristianovna;Undirected;Shishkengolmiprochie;1
Hor;Undirected;Shishkengolmiminahristianovna;2
Ivanov;Undirected;Shishkengolmiprochie;1
Kurtsgalop;Undirected;Shishkengolm;1
Kasimov;Undirected;Minahristianovna;1
Kasimov;Undirected;Kasimovivihorin;1
Liza;Undirected;ShishkengolmMinahristianovnailiza;1
Kasimovivihorin;Undirected;Vse;2
Hor;Undirected;Shishkengolm;2
Shishkengolmiminahristianovna;Undirected;Vihorin;1
Shishkengolm;Undirected;Shishkengolymiminahristianovna;1
Ivanov;Undirected;Vihorinikasimov;1
Kasimovivihorin;Undirected;ShishkengolmMinahristianovnailiza;1
Shishkengolm;Undirected;Shishkengolmiprochie;1
Hor;Undirected;Shishkengolmiprochie;1
Ivanov;Undirected;Shishkengolm;2
Kasimov;Undirected;Shishkengolm;1
Ivanov;Undirected;Kasimovivihorin;2
Ivanov;Undirected;Kurtsgalop;1
Hor;Undirected;Shishkengolymiminahristianovna;1
Shishkengolm;Undirected;Vse;2
Kasimov;Undirected;Shishkengolmiminahristianovna;1
Liza;Undirected;Shishkengolmiminahristianovna;2
Ivanov;Undirected;Minahristianovna;1
Shishkengolmiminahristianovna;Undirected;Vihorinikasimov;1
Kasimov;Undirected;Liza;1
Hor;Undirected;Kurtsgalop;1
Shishkengolm;Undirected;Vihorinikasimov;1
Kasimovivihorin;Undirected;Minahristianovna;1
Ivanov;Undirected;ShishkengolmMinahristianovnailiza;1
Shishkengolm;Undirected;Shishkengolmiminahristianovna;2
