Source;Type;Target;Weight
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Poljak;1
Kurbskij;Undirected;Poet;1
Bojare;Undirected;Tretijiznaroda_2;1
Feodor;Undirected;Strazha;1
Chetvertyjiznaroda_2;Undirected;Jurodivyj;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Poet;1
Marzheret;Undirected;Nemtsy;1
OdinPridvornyj;Undirected;Tsar_Boris;1
Ljahi;Undirected;Plennik;1
Feodor;Undirected;Mamka;1
Feodor;Undirected;TretijPridvornyj;1
ChetvertyjPridvornyj;Undirected;ShestojPridvornyj;1
Feodor;Undirected;Shujskij;1
Ljahi;Undirected;OdinIzBegletsov;1
Bojare;Undirected;Chetvertyjiznaroda_2;1
Narod;Undirected;Odiniznaroda_2;1
GavrilaPushkin;Undirected;Poljak;1
Drugojiznaroda_2;Undirected;Tretijiznaroda_2;1
PervajaDama;Undirected;TretjaDama;1
Bojarin;Undirected;Feodor;1
PervajaDama;Undirected;Vishnevetskij;1
Narod;Undirected;Odiniznaroda_1;1
Marzheret;Undirected;OdinIzBegletsov;1
Basmanov;Undirected;DrugojBojarin;1
Narod;Undirected;Strazha;1
DrugojIzBegletsov;Undirected;Voiny;1
TretijPridvornyj;Undirected;Tsar_Boris;1
Bojare;Undirected;OdinPridvornyj;1
Drugojiznaroda_2;Undirected;OdinIzMalchishek;1
Varlaam;Undirected;VtorojPristav;1
Ljahi;Undirected;Marzheret;1
MalChishki;Undirected;OdinIzMalchishek;1
Karela;Undirected;Kurbskij;1
PervajaDama;Undirected;TretijKavaler;1
Feodor;Undirected;Narod;1
DrugojPridvornyj;Undirected;Feodor;1
Tretijiznaroda_2;Undirected;Tsar_Boris;1
Chetvertyjiznaroda_2;Undirected;OdinIzMalchishek;1
PjatyjPridvornyj;Undirected;Tsar_Boris;1
DrugojLjah;Undirected;Plennik;1
Marina;Undirected;PervyjKavaler;1
SemenGodunov;Undirected;Tsar_Boris;1
Shujskij;Undirected;Vorotynskij;2
Marina;Undirected;VtorajaDama;1
OdinIzMalchishek;Undirected;Odiniznaroda_2;1
MosalSkij;Undirected;Strazha;1
Ksenija;Undirected;MosalSkij;1
Basmanov;Undirected;Tsar_Boris;2
Narod;Undirected;Odiniznaroda_3;1
OdinIzBegletsov;Undirected;VRozen;1
Feodor;Undirected;Ksenija;2
PjatyjPridvornyj;Undirected;TretijPridvornyj;1
Feodor;Undirected;Nischij;1
Bojarin;Undirected;PjatyjPridvornyj;1
Bojarin;Undirected;DrugojPridvornyj;1
PervyjKavaler;Undirected;TretjaDama;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Kurbskij;2
MalChishki;Undirected;Narod;1
DrugojBojarin;Undirected;Patriarh;1
ShestojPridvornyj;Undirected;TretijPridvornyj;1
GavrilaPushkin;Undirected;MuzhikNaAmvone;1
Feodor;Undirected;SemenGodunov;1
Chetvertyjiznaroda_2;Undirected;MalChishki;1
GavrilaPushkin;Undirected;Narod;1
Bojare;Undirected;MalChishki;1
OdinPridvornyj;Undirected;ShestojPridvornyj;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;PervyjPristav;1
Drugojiznaroda_1;Undirected;Narod;1
Narod;Undirected;Tretijiznaroda_1;1
Odiniznaroda_1;Undirected;Schelkalov;1
Nemtsy;Undirected;OdinIzBegletsov;1
Karela;Undirected;Poet;1
PervijPristav;Undirected;VtorojPristav;1
Hozjajka;Undirected;PervijPristav;1
Marzheret;Undirected;VRozen;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Pimen;1
Basmanov;Undirected;OdinPridvornyj;1
Nischij;Undirected;Strazha;1
PervyjBojarin;Undirected;Tsar_Boris;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Marzheret;1
Bojare;Undirected;Narod;1
Drugojiznaroda_3;Undirected;Feodor;1
MosalSkij;Undirected;Nischij;1
Bojare;Undirected;Vorotynskij;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Ljah;2
Jurodivyj;Undirected;Odiniznaroda_2;1
Bojare;Undirected;PjatyjPridvornyj;1
Drugojiznaroda_1;Undirected;Schelkalov;1
Grigorij_Dimitrij_Lzhedimitrij_Samozvanets;Undirected;Voiny;1
Basmanov;Undirected;ChetvertyjPridvornyj;1
