Source;Type;Target;Weight
GrafLjubin;Undirected;Vasilevna;1
Apollon;Undirected;Misha;1
Apollon;Undirected;DarjaIvanovna;1
GrafLjubin;Undirected;Misha;3
Apollon;Undirected;Vasilevna;1
Lakej;Undirected;Stupendev;1
Apollon;Undirected;GrafLjubin;1
DarjaIvanovna;Undirected;Lakej;1
DarjaIvanovna;Undirected;Misha;9
Misha;Undirected;Stupendev;7
DarjaIvanovna;Undirected;Vasilevna;3
Apollon;Undirected;Stupendev;3
DarjaIvanovna;Undirected;Stupendev;13
DarjaIvanovna;Undirected;GrafLjubin;9
GrafLjubin;Undirected;Stupendev;6
Misha;Undirected;Vasilevna;1
Stupendev;Undirected;Vasilevna;3
