Source;Type;Target;Weight
Alupkin;Undirected;Kaurova;5
Pehterev;Undirected;Suslov;2
Pehterev;Undirected;TeZheIPehterev;1
Bespandin;Undirected;Pehterev;2
Alupkin;Undirected;SuslovIMirvolin;1
Alupkin;Undirected;TeZheIPehterev;1
Alupkin;Undirected;Naglanovich;1
Gerasim;Undirected;Kaurova;3
Balagalaev;Undirected;Gerasim;6
SuslovIMirvolin;Undirected;TeZheIVelvitskijSPlanami;1
Mirvolin;Undirected;TeZheIVelvitskijSPlanami;1
Alupkin;Undirected;Balagalaev;8
Bespandin;Undirected;Naglanovich;1
Karp;Undirected;Suslov;1
Alupkin;Undirected;Velvitskij;3
Mirvolin;Undirected;Suslov;7
Kaurova;Undirected;Naglanovich;1
Balagalaev;Undirected;Kaurova;6
SuslovIMirvolin;Undirected;Velvitskij;1
Karp;Undirected;Mirvolin;1
Bespandin;Undirected;SuslovIMirvolin;1
Balagalaev;Undirected;Suslov;7
Mirvolin;Undirected;Velvitskij;3
Pehterev;Undirected;Velvitskij;1
Balagalaev;Undirected;TeZheIVelvitskijSPlanami;1
Balagalaev;Undirected;Bespandin;4
Bespandin;Undirected;Gerasim;2
Kaurova;Undirected;TeZheIVelvitskijSPlanami;1
Gerasim;Undirected;SuslovIMirvolin;1
Alupkin;Undirected;Pehterev;2
Karp;Undirected;Kaurova;1
Mirvolin;Undirected;SuslovIMirvolin;1
Alupkin;Undirected;Bespandin;4
Gerasim;Undirected;Velvitskij;2
Suslov;Undirected;TeZheIPehterev;1
Kaurova;Undirected;Velvitskij;2
Mirvolin;Undirected;Naglanovich;1
Bespandin;Undirected;Kaurova;4
Alupkin;Undirected;TeZheIVelvitskijSPlanami;1
Alupkin;Undirected;Gerasim;4
Suslov;Undirected;TeZheIVelvitskijSPlanami;1
Gerasim;Undirected;Mirvolin;5
TeZheIVelvitskijSPlanami;Undirected;Velvitskij;1
Kaurova;Undirected;Mirvolin;6
Balagalaev;Undirected;Mirvolin;9
Naglanovich;Undirected;Pehterev;1
Naglanovich;Undirected;Suslov;1
Mirvolin;Undirected;Pehterev;2
Balagalaev;Undirected;Velvitskij;3
Gerasim;Undirected;Suslov;3
Balagalaev;Undirected;Naglanovich;1
Gerasim;Undirected;TeZheIVelvitskijSPlanami;1
Balagalaev;Undirected;SuslovIMirvolin;1
Suslov;Undirected;Velvitskij;2
Naglanovich;Undirected;Velvitskij;1
Balagalaev;Undirected;Pehterev;2
Bespandin;Undirected;Suslov;4
Kaurova;Undirected;SuslovIMirvolin;1
Balagalaev;Undirected;TeZheIPehterev;1
Kaurova;Undirected;TeZheIPehterev;1
Gerasim;Undirected;Karp;1
Bespandin;Undirected;Velvitskij;2
Kaurova;Undirected;Pehterev;2
Suslov;Undirected;SuslovIMirvolin;1
Bespandin;Undirected;TeZheIVelvitskijSPlanami;1
Balagalaev;Undirected;Karp;1
Mirvolin;Undirected;TeZheIPehterev;1
Kaurova;Undirected;Suslov;6
Bespandin;Undirected;Mirvolin;4
Alupkin;Undirected;Suslov;6
Alupkin;Undirected;Mirvolin;8
Bespandin;Undirected;TeZheIPehterev;1
