Source;Target;Weight
On_1;Ona_3;1
On_1;Pero;1
Ona_3;Pero;1
On_3;Ona_3;1
Arlekin;TretijMistik;1
Arlekin;Pero;2
Arlekin;Kolombina;1
PervyjMistik;TretijMistik;1
Arlekin;Hor;1
Ona_1;Pajats;1
Avtor;PervyjMistik;1
Ona_1;Pero;1
Pero;PervyjMistik;1
Hor;On_3;1
Arlekin;Pajats;1
Hor;On_2;1
Avtor;TretijMistik;1
Arlekin;Ona_3;1
Avtor;Kolombina;1
Pajats;Pero;1
Arlekin;On_1;1
TretijMistik;VtorojMistik;1
On_2;Ona_3;1
Pero;VtorojMistik;1
Hor;Pero;1
On_2;Pajats;1
PervyjMistik;VtorojMistik;1
On_2;Ona_1;1
On_1;Pajats;1
Ona_2;Ona_3;1
Arlekin;VtorojMistik;1
Avtor;Predsedatel;1
Hor;Pajats;1
Predsedatel;VtorojMistik;1
On_3;Ona_1;1
On_3;Pajats;1
Hor;On_1;1
Kolombina;TretijMistik;1
Ona_2;Pero;1
Arlekin;Ona_1;1
Predsedatel;TretijMistik;1
Avtor;VtorojMistik;1
Ona_1;Ona_3;1
On_1;On_3;1
Hor;Ona_1;1
Arlekin;PervyjMistik;1
Avtor;Pero;2
On_1;On_2;1
PervyjMistik;Predsedatel;1
On_1;Ona_1;1
Kolombina;Pero;1
On_2;Ona_2;1
On_3;Ona_2;1
Pero;Predsedatel;1
Arlekin;On_2;1
Arlekin;Predsedatel;1
Ona_3;Pajats;1
Hor;Ona_2;1
Ona_2;Pajats;1
Arlekin;Avtor;1
Arlekin;Ona_2;1
Arlekin;On_3;1
Kolombina;VtorojMistik;1
On_3;Pero;1
On_1;Ona_2;1
Hor;Ona_3;1
On_2;On_3;1
Kolombina;Predsedatel;1
On_2;Pero;1
Kolombina;PervyjMistik;1
Ona_1;Ona_2;1
Pero;TretijMistik;1
