Source;Target;Weight
Djadin;FedorIvanovich;6
FedorIvanovich;MarjaVasilevna;2
Hruschov;Zheltuhin;4
ElenaAndreevna;Serebrjakov;10
Semen;Serebrjakov;1
Hruschov;Vojnitskij;2
ElenaAndreevna;Hruschov;6
ElenaAndreevna;Vojnitskij;9
ElenaAndreevna;Semen;1
Orlovskij;Vasilij;1
ElenaAndreevna;Zheltuhin;3
Julja;Serebrjakov;5
MarjaVasilevna;Serebrjakov;5
FedorIvanovich;Vojnitskij;9
Vasilij;Vojnitskij;1
Djadin;Hruschov;7
MarjaVasilevna;Orlovskij;4
ElenaAndreevna;FedorIvanovich;4
MarjaVasilevna;Zheltuhin;3
Djadin;Orlovskij;11
FedorIvanovich;Semen;1
MarjaVasilevna;Vojnitskij;4
Julja;MarjaVasilevna;2
Hruschov;Sonja;8
FedorIvanovich;Orlovskij;11
Orlovskij;Semen;1
Djadin;ElenaAndreevna;5
Julja;Orlovskij;10
Julja;Semen;3
Orlovskij;Sonja;9
FedorIvanovich;Julja;7
Vojnitskij;Zheltuhin;7
Julja;Zheltuhin;9
Hruschov;Orlovskij;6
FedorIvanovich;Vasilij;1
FedorIvanovich;Zheltuhin;5
Semen;Sonja;1
Djadin;Julja;11
Djadin;Sonja;8
Djadin;Vojnitskij;5
Orlovskij;Vojnitskij;11
ElenaAndreevna;Orlovskij;5
ElenaAndreevna;Julja;3
Orlovskij;Zheltuhin;10
Julja;Vojnitskij;6
Semen;Zheltuhin;1
Sonja;Zheltuhin;4
Serebrjakov;Vojnitskij;6
Julja;Vasilij;1
Djadin;Zheltuhin;6
Serebrjakov;Zheltuhin;5
Sonja;Vojnitskij;4
FedorIvanovich;Sonja;6
Vasilij;Zheltuhin;1
Orlovskij;Serebrjakov;8
FedorIvanovich;Serebrjakov;4
Hruschov;Julja;6
Djadin;Vasilij;1
Hruschov;MarjaVasilevna;1
Serebrjakov;Sonja;6
Djadin;MarjaVasilevna;3
ElenaAndreevna;Sonja;5
ElenaAndreevna;MarjaVasilevna;3
Djadin;Semen;2
Hruschov;Semen;2
MarjaVasilevna;Sonja;2
Julja;Sonja;8
FedorIvanovich;Hruschov;3
Djadin;Serebrjakov;6
Hruschov;Serebrjakov;6
