Source;Target;Weight
Aplombov;Shafer;1
Njunin;Zhigalov;1
Kavalery;Njunin;1
;Dymba;1
Njunin;Shafer;1
;Revunov;1
Dashenka;Shafer;1
Kavalery;Zmejukina;1
Revunov;Shafer;1
;Njunin;1
Aplombov;Lakej;1
Aplombov;Dymba;1
Lakej;Revunov;1
Aplombov;Mozgovoj;1
Dymba;Revunov;1
Aplombov;Dashenka;1
Dymba;Mozgovoj;1
Dymba;Zhigalov;1
Dymba;Lakej;1
Kavalery;Mozgovoj;1
Jat;Kavalery;1
Dashenka;Jat;1
;Mozgovoj;1
Dymba;Kavalery;1
Jat;Zmejukina;1
Njunin;Zmejukina;1
Shafer;Zmejukina;1
Lakej;Shafer;1
NastasjaTimofeevna;Zmejukina;1
Aplombov;Njunin;1
NastasjaTimofeevna;Njunin;1
Dashenka;Lakej;1
Dymba;Jat;1
Dashenka;Kavalery;1
Lakej;Mozgovoj;1
Jat;NastasjaTimofeevna;1
;Zhigalov;1
Revunov;Zhigalov;1
Lakej;NastasjaTimofeevna;1
Dymba;NastasjaTimofeevna;1
Dashenka;Njunin;1
Revunov;Zmejukina;1
Njunin;Revunov;1
Mozgovoj;Shafer;1
Dymba;Zmejukina;1
Kavalery;Shafer;1
Jat;Revunov;1
Kavalery;Lakej;1
;Aplombov;1
;Lakej;1
Aplombov;Zhigalov;1
NastasjaTimofeevna;Revunov;1
Jat;Mozgovoj;1
;Jat;1
NastasjaTimofeevna;Shafer;1
Dymba;Shafer;1
Aplombov;Zmejukina;1
;Zmejukina;1
Zhigalov;Zmejukina;1
NastasjaTimofeevna;Zhigalov;1
Lakej;Zhigalov;1
Dashenka;Revunov;1
Mozgovoj;NastasjaTimofeevna;1
Kavalery;Revunov;1
Aplombov;Kavalery;1
Dymba;Njunin;1
Mozgovoj;Zmejukina;1
Dashenka;Zmejukina;1
;Dashenka;1
Jat;Shafer;1
Aplombov;NastasjaTimofeevna;1
Aplombov;Revunov;1
Shafer;Zhigalov;1
Dashenka;Mozgovoj;1
Dashenka;NastasjaTimofeevna;1
;Shafer;1
Jat;Zhigalov;1
Jat;Njunin;1
Kavalery;Zhigalov;1
;NastasjaTimofeevna;1
Mozgovoj;Zhigalov;1
Dashenka;Zhigalov;1
Jat;Lakej;1
Kavalery;NastasjaTimofeevna;1
Mozgovoj;Revunov;1
Lakej;Zmejukina;1
Lakej;Njunin;1
;Kavalery;1
Mozgovoj;Njunin;1
Aplombov;Jat;1
Dashenka;Dymba;1
