Source;Target;Weight
Jasha;LjubovAndreevna;5
Lopahin;Pischik;6
Sharlotta;Trofimov;1
LjubovAndreevna;Prohozhij;1
Dunjasha;Jasha;5
Firs;LjubovAndreevna;6
Anja;Gaev;8
Jasha;Trofimov;1
NachalnikStantsii;Pischik;1
Anja;Pischik;1
NachalnikStantsii;Sharlotta;1
Gaev;Prohozhij;1
Epihodov;Sharlotta;1
Anja;Firs;2
Gaev;Varja;12
Dunjasha;Varja;3
Lopahin;Sharlotta;2
Gaev;Sharlotta;2
Anja;Epihodov;2
Epihodov;Gaev;1
Firs;Gaev;6
Gaev;Jasha;5
LjubovAndreevna;Sharlotta;3
Anja;Lopahin;5
Gaev;Lopahin;13
NachalnikStantsii;Trofimov;1
Firs;Pischik;3
Dunjasha;Sharlotta;1
Jasha;Sharlotta;1
Anja;Sharlotta;1
Anja;LjubovAndreevna;9
LjubovAndreevna;Trofimov;6
LjubovAndreevna;Pischik;9
Lopahin;Varja;8
Firs;Jasha;4
Anja;Jasha;3
Jasha;Pischik;1
Trofimov;Varja;7
Gaev;Trofimov;3
LjubovAndreevna;Varja;12
Jasha;Lopahin;5
Pischik;Varja;6
Lopahin;Prohozhij;1
Anja;Dunjasha;2
LjubovAndreevna;NachalnikStantsii;1
Epihodov;LjubovAndreevna;1
Gaev;LjubovAndreevna;19
Anja;Trofimov;5
Firs;Varja;5
Epihodov;Jasha;3
Epihodov;Lopahin;2
Lopahin;Trofimov;5
Firs;Trofimov;1
Pischik;Sharlotta;2
Firs;Lopahin;4
Epihodov;Trofimov;1
Gaev;Pischik;6
Sharlotta;Varja;2
Anja;Varja;12
LjubovAndreevna;Lopahin;16
Pischik;Trofimov;4
Jasha;Varja;5
Dunjasha;Epihodov;4
Dunjasha;Firs;2
Dunjasha;Lopahin;3
Epihodov;Varja;2
