Source;Target;Weight
AgafjaTihonovna;Anuchkin;3
Fekla;Kochkarev;9
ArinaPantelejmonovna;Jaichnitsa;2
ArinaPantelejmonovna;Dunjashka;1
Dunjashka;Fekla;1
Podkolesin;Stepan;4
ArinaPantelejmonovna;Zhevakin;2
AgafjaTihonovna;Podkolesin;3
Anuchkin;Kochkarev;6
Anuchkin;Starikov;2
Starikov;Zhevakin;2
AgafjaTihonovna;ArinaPantelejmonovna;6
Anuchkin;Dunjashka;1
Anuchkin;ArinaPantelejmonovna;2
AgafjaTihonovna;Fekla;5
AgafjaTihonovna;Jaichnitsa;4
Jaichnitsa;Kochkarev;7
AgafjaTihonovna;Kochkarev;7
Kochkarev;Podkolesin;10
Jaichnitsa;Zhevakin;6
Anuchkin;Jaichnitsa;8
Fekla;Starikov;2
AgafjaTihonovna;Zhevakin;4
Fekla;Zhevakin;4
Dunjashka;Kochkarev;1
GolosIzvozchika;Podkolesin;1
Fekla;Podkolesin;3
Podkolesin;Starikov;1
Kochkarev;Starikov;2
Anuchkin;Podkolesin;2
ArinaPantelejmonovna;Starikov;1
Dunjashka;Jaichnitsa;2
Fekla;Jaichnitsa;5
Jaichnitsa;Podkolesin;2
Anuchkin;Zhevakin;4
Podkolesin;Zhevakin;1
Jaichnitsa;Starikov;2
Kochkarev;Zhevakin;6
AgafjaTihonovna;Starikov;1
Anuchkin;Fekla;4
ArinaPantelejmonovna;Fekla;5
ArinaPantelejmonovna;Kochkarev;4
