Source;Target;Weight
Nineta;Rabotniki;1
;Filipp;1
Nineta;Zhuleta;2
Muzhiki;Rabotniki;1
Graf;Paulin;9
Graf;Zhuleta;8
Blez;Paulin;3
Hor;Zhaneta;1
Blez;Muzhiki;1
Nineta;Paulin;1
Rabotniki;Zhuleta;1
;Graf;1
Filipp;Paulin;6
Filipp;Nineta;1
Filipp;Graf;8
Blez;Graf;5
Hor;Nineta;1
Blez;Filipp;6
Blez;Zhaneta;3
Zhaneta;Zhuleta;2
Blez;Rabotniki;1
Filipp;Zhaneta;1
;Paulin;1
Hor;Rabotniki;1
Paulin;Zhaneta;2
Graf;Zhaneta;2
Blez;Nineta;3
Nineta;Zhaneta;3
Filipp;Zhuleta;8
Blez;Zhuleta;5
;Blez;1
Graf;Nineta;2
Hor;Zhuleta;1
Muzhiki;Zhuleta;1
;Zhuleta;1
Paulin;Zhuleta;6
Rabotniki;Zhaneta;1
Hor;Muzhiki;1
Muzhiki;Zhaneta;1
Muzhiki;Nineta;1
Blez;Hor;1
