Source;Target;Weight
Aleksej;Anja;3
Inna;Vanjushin;1
Akulina;Lena;1
Avdotja;Inna;1
Akulina;Klavdija;3
Konstantin;Krasavin;2
Konstantin;Lena;1
Anja;Ljudmila;3
Akulina;Anja;3
Aleksej;Schetkin;3
Katja;Lena;1
Aleksej;ArinaIvanovna;3
ArinaIvanovna;Inna;1
Aleksej;Konstantin;3
ArinaIvanovna;Konstantin;4
ArinaIvanovna;Klavdija;4
Anja;ArinaIvanovna;4
Akulina;Inna;1
ArinaIvanovna;Ljudmila;3
Avdotja;Katja;3
Inna;StarikVLohmotjah;1
Katja;Klavdija;4
Konstantin;Schetkin;3
Lena;Vanjushin;1
Avdotja;Lena;1
ArinaIvanovna;Katja;4
Avdotja;Konstantin;3
Katja;Lenochka;2
Lena;Ljudmila;1
Inna;Katja;1
Aleksej;Krasavin;2
Klavdija;Schetkin;3
Avdotja;Lenochka;1
Konstantin;Kukarnikova;1
Akulina;Krasavin;1
Kukarnikova;StarikVLohmotjah;1
Aleksej;Lena;1
Katja;Schetkin;3
Akulina;Vanjushin;3
Anja;Konstantin;4
ArinaIvanovna;Lenochka;2
Katja;Vanjushin;4
Katja;Konstantin;4
Krasavin;Ljudmila;2
Anja;Krasavin;2
Lenochka;Ljudmila;2
Klavdija;Lena;1
Anja;Avdotja;3
Anja;Klavdija;4
Lenochka;Vanjushin;2
Akulina;Schetkin;2
Lena;Schetkin;1
Aleksej;Klavdija;3
Akulina;StarikVLohmotjah;1
Inna;Klavdija;1
Aleksej;Lenochka;2
Krasavin;Lenochka;2
Anja;Lena;1
Katja;StarikVLohmotjah;1
Avdotja;Schetkin;2
Kukarnikova;Vanjushin;1
Akulina;Kukarnikova;1
Konstantin;Lenochka;2
Klavdija;Kukarnikova;1
ArinaIvanovna;Schetkin;3
Lenochka;Schetkin;2
Anja;Katja;4
Ljudmila;Vanjushin;3
StarikVLohmotjah;Vanjushin;1
Inna;Kukarnikova;1
Anja;Vanjushin;4
Akulina;Aleksej;2
Konstantin;StarikVLohmotjah;1
Schetkin;Vanjushin;3
ArinaIvanovna;Lena;1
Krasavin;Schetkin;2
Akulina;Avdotja;3
Akulina;Katja;3
ArinaIvanovna;Vanjushin;4
Anja;Inna;1
Inna;Konstantin;1
Avdotja;Vanjushin;3
ArinaIvanovna;StarikVLohmotjah;1
Avdotja;StarikVLohmotjah;1
Klavdija;Konstantin;4
Anja;Lenochka;2
Akulina;ArinaIvanovna;3
Anja;Schetkin;3
Klavdija;Krasavin;2
Katja;Krasavin;2
Anja;StarikVLohmotjah;1
Konstantin;Vanjushin;4
ArinaIvanovna;Kukarnikova;1
Konstantin;Ljudmila;3
Avdotja;Ljudmila;2
Akulina;Konstantin;3
Ljudmila;Schetkin;3
Akulina;Lenochka;1
Avdotja;Kukarnikova;1
Krasavin;Vanjushin;2
Klavdija;Ljudmila;3
ArinaIvanovna;Krasavin;2
Akulina;Ljudmila;2
Klavdija;Lenochka;2
Aleksej;Avdotja;2
Avdotja;Krasavin;1
Avdotja;Klavdija;3
Anja;Kukarnikova;1
Katja;Ljudmila;3
Klavdija;StarikVLohmotjah;1
Aleksej;Ljudmila;3
Klavdija;Vanjushin;4
ArinaIvanovna;Avdotja;3
Katja;Kukarnikova;1
Aleksej;Katja;3
Aleksej;Vanjushin;3
