Source;Target;Weight
Liza;pervajagostja;1
Arina;Masha;1
Korshunov;LjubovGordeevna;6
AnnaIvanovna;Devushki;1
Masha;PelagejaEgorovna;2
Masha;Razljuljaev;4
Devushki;pervajagostja;1
LjubovGordeevna;vtorajagostja;1
Korshunov;PelagejaEgorovna;3
LjubovGordeevna;Mitja;6
PelagejaEgorovna;Starik;1
Liza;Razljuljaev;4
Guslin;Mitja;7
Devushki;LjubovGordeevna;2
Arina;vtorajagostja;1
Guslin;Masha;2
AnnaIvanovna;LjubovGordeevna;6
Liza;PelagejaEgorovna;2
GordejKarpych;Liza;2
Egorushka;Guslin;2
Devushki;Liza;1
Egorushka;Korshunov;1
Guslin;Razljuljaev;5
Devushki;vtorajagostja;1
Arina;Liza;1
AnnaIvanovna;Mitja;4
Korshunov;vtorajagostja;1
PelagejaEgorovna;pervajagostja;3
Korshunov;Mitja;1
Arina;Vozhak;1
Egorushka;Liza;1
Mitja;Vozhak;1
GordejKarpych;Mitja;4
AnnaIvanovna;Arina;1
pervajagostja;vtorajagostja;2
Razljuljaev;pervajagostja;2
GordejKarpych;Masha;2
Egorushka;Starik;1
Arina;pervajagostja;2
AnnaIvanovna;GordejKarpych;3
Egorushka;Vozhak;1
Egorushka;Mitja;3
Liza;LjubimKarpych;1
Guslin;LjubimKarpych;1
GordejKarpych;pervajagostja;1
Egorushka;GordejKarpych;1
AnnaIvanovna;Korshunov;2
AnnaIvanovna;Razljuljaev;3
GordejKarpych;PelagejaEgorovna;4
Arina;Devushki;2
Korshunov;pervajagostja;1
Mitja;vtorajagostja;1
PelagejaEgorovna;Vozhak;1
LjubimKarpych;Razljuljaev;3
PelagejaEgorovna;vtorajagostja;2
Arina;Starik;1
Guslin;Liza;2
Mitja;Starik;1
Devushki;PelagejaEgorovna;2
Guslin;vtorajagostja;1
Guslin;Vozhak;1
Korshunov;Masha;3
Egorushka;LjubovGordeevna;2
Arina;Guslin;2
Devushki;Mitja;1
Liza;vtorajagostja;1
Arina;GordejKarpych;1
Korshunov;Liza;3
Mitja;PelagejaEgorovna;9
GordejKarpych;LjubovGordeevna;6
Devushki;Masha;1
AnnaIvanovna;Egorushka;1
Guslin;LjubovGordeevna;3
Arina;Korshunov;1
Korshunov;LjubimKarpych;3
Arina;Egorushka;3
Korshunov;Razljuljaev;2
Mitja;Razljuljaev;7
Razljuljaev;Vozhak;1
Masha;pervajagostja;1
Devushki;GordejKarpych;1
Arina;Razljuljaev;2
LjubimKarpych;LjubovGordeevna;3
LjubovGordeevna;PelagejaEgorovna;6
AnnaIvanovna;Guslin;3
Masha;Mitja;2
Arina;PelagejaEgorovna;5
Starik;Vozhak;1
GordejKarpych;Razljuljaev;3
Vozhak;pervajagostja;1
Arina;Mitja;2
Arina;LjubovGordeevna;2
AnnaIvanovna;Liza;4
Masha;vtorajagostja;1
Egorushka;Masha;1
Devushki;Razljuljaev;1
LjubimKarpych;Masha;1
AnnaIvanovna;LjubimKarpych;1
Liza;Masha;6
Starik;pervajagostja;1
Devushki;Korshunov;1
Razljuljaev;vtorajagostja;1
AnnaIvanovna;pervajagostja;1
GordejKarpych;Guslin;1
LjubimKarpych;Mitja;2
Guslin;pervajagostja;2
Razljuljaev;Starik;1
Liza;Mitja;2
Guslin;PelagejaEgorovna;4
AnnaIvanovna;vtorajagostja;1
LjubimKarpych;PelagejaEgorovna;1
Devushki;Egorushka;1
Egorushka;pervajagostja;2
Egorushka;vtorajagostja;1
AnnaIvanovna;Masha;4
Devushki;Guslin;1
PelagejaEgorovna;Razljuljaev;4
Egorushka;PelagejaEgorovna;2
LjubovGordeevna;pervajagostja;1
GordejKarpych;LjubimKarpych;3
GordejKarpych;Korshunov;8
LjubovGordeevna;Masha;5
AnnaIvanovna;PelagejaEgorovna;4
Mitja;pervajagostja;2
LjubovGordeevna;Razljuljaev;5
Liza;LjubovGordeevna;5
Egorushka;Razljuljaev;2
Guslin;Starik;1
GordejKarpych;vtorajagostja;1
