Source;Target;Weight
Knjaz;OdinGolos;1
Devushki;Hor;1
Druzhko;Konjushij;1
Hor;Konjushij;1
Lovchij;Melnik;1
DochRusalka;Knjaz;1
Knjaz;Odna;1
Gost;Svat;1
Melnik;Rusalki;1
Hor;Knjaz;1
Devushki;Druzhko;1
Druzhko;OdinGolos;1
Drugaja;Knjaz;1
Druzhko;Knjaz;1
Knjaz;Konjushij;1
Konjushij;Svat;1
DochRusalka;Rusalochka;1
Druzhko;Gost;1
Hor;Svat;1
Devushki;Knjaz;1
Knjaginja;Mamka;1
Knjaz;Melnik;2
Gost;Knjaz;1
Druzhko;Svaha;1
Hor;OdinGolos;1
Lovchij;Odna;1
Drugaja;Rusalki;1
Konjushij;Svaha;1
Druzhko;Svat;1
Odna;Rusalki;1
Knjaz;Svat;1
Gost;Hor;1
Devushki;Gost;1
Lovchij;Rusalki;1
OdinGolos;Svat;1
Knjaz;Lovchij;1
Drugaja;Melnik;1
Gost;OdinGolos;1
Hor;Svaha;1
Gost;Svaha;1
Drugaja;Lovchij;1
Devushki;Svaha;1
DochRusalka;Melnik;1
Devushki;Konjushij;1
Svaha;Svat;1
Druzhko;Hor;1
Lovchij;Mamka;1
Devushki;Svat;1
Konjushij;OdinGolos;1
Drugaja;Odna;1
Knjaginja;Lovchij;1
Gost;Konjushij;1
Devushki;OdinGolos;1
Knjaz;Svaha;1
OdinGolos;Svaha;1
Melnik;Odna;1
Knjaz;Rusalki;1
