Source;Target;Weight
DrugojRytsar_3;Rytsari_2;1
Bertold;Martyn;2
OdinIzRytsarej_2;Rytsari_2;1
DrugojRytsar_3;OdinIzRytsarej;1
Rytsari;Rytsari_2;1
Frants;Klotilda;2
Alber;Frants;5
OdinRytsar;Rotenfeld;1
Frants;Vassaly;2
DrugojRytsar_4;OdinIzRytsarej_2;1
Frants;OdinRytsar;1
OdinIzRytsarej_2;Rytsari;1
Alber;DrugojRytsar;1
Alber;Rytsar_2;1
Frants;OdinIzRytsarej;1
DrugojRytsar_3;Rotenfeld;1
Alber;OdinIzRytsarej_2;1
Rytsari_2;Vassaly;1
Rytsar_2;Rytsari;1
Frants;Rytsar;1
Klotilda;OdinIzRytsarej_2;1
Klotilda;Rotenfeld;2
OdinIzRytsarej;Rytsari_2;1
OdinRytsar_2;Rytsari_2;1
DrugojRytsar_3;Vassaly;1
DrugojRytsar_2;Rotenfeld;1
Rytsar_2;Rytsari_2;1
Rotenfeld;Rytsari;2
Alber;OdinIzRytsarej;1
DrugojRytsar_3;OdinIzNih;1
Alber;Vassaly;2
DrugojRytsar;Rotenfeld;1
Frants;Rotenfeld;4
DrugojRytsar_4;Frants;1
Klotilda;Rytsar_2;1
OdinIzNih;OdinIzRytsarej;1
Rytsar;Rytsari_2;1
Alber;OdinRytsar;1
Frants;Rytsari;2
OdinIzNih;Rotenfeld;1
Frants;OdinIzNih;1
OdinIzRytsarej;Rytsar;1
DrugojRytsar_2;Frants;1
DrugojRytsar_4;Klotilda;1
DrugojRytsar_2;Rytsar;1
DrugojRytsar_4;OdinRytsar_2;1
DrugojRytsar_2;OdinIzRytsarej;1
OdinRytsar_2;Rytsar_2;1
DrugojRytsar;Rytsari;1
DrugojRytsar_4;Rytsar_2;1
Bertold;Frants;1
DrugojRytsar_4;Rytsari_2;1
Frants;Karl;1
Alber;OdinIzNih;1
Klotilda;Rytsari_2;1
OdinIzRytsarej;Rotenfeld;1
DrugojRytsar_3;Frants;1
DrugojRytsar_2;Rytsari_2;1
Alber;Klotilda;3
Rotenfeld;Vassaly;2
Rotenfeld;Rytsari_2;2
Klotilda;OdinRytsar_2;1
Frants;Kosari;1
OdinIzRytsarej_2;Rotenfeld;1
OdinIzNih;Rytsar;1
OdinRytsar_2;Rotenfeld;1
DrugojRytsar_3;Rytsar;1
DrugojRytsar_4;Rytsari;1
DrugojRytsar;Frants;1
Frants;Rytsari_2;2
DrugojRytsar;Vassaly;1
Frants;Rytsar_2;1
OdinIzRytsarej_2;OdinRytsar_2;1
OdinRytsar;Vassaly;1
DrugojRytsar_4;Rotenfeld;1
Rytsar;Vassaly;1
Alber;DrugojRytsar_4;1
Berta;Klotilda;1
Rotenfeld;Rytsar;1
Alber;Rytsar;1
DrugojRytsar_2;Vassaly;1
Alber;Rytsari_2;2
Alber;OdinRytsar_2;1
Frants;OdinRytsar_2;1
Rytsari;Vassaly;1
DrugojRytsar;OdinRytsar;1
OdinRytsar_2;Rytsari;1
Frants;OdinIzRytsarej_2;1
Frants;Martyn;1
Alber;DrugojRytsar_2;1
OdinIzNih;Vassaly;1
OdinIzRytsarej_2;Rytsar_2;1
OdinIzRytsarej;Vassaly;1
Alber;Rotenfeld;4
Rotenfeld;Rytsar_2;1
Klotilda;Rytsari;1
Alber;Rytsari;2
DrugojRytsar_2;OdinIzNih;1
OdinIzNih;Rytsari_2;1
DrugojRytsar_2;DrugojRytsar_3;1
OdinRytsar;Rytsari;1
Alber;DrugojRytsar_3;1
