Source;Target;Weight
Avakov;NadezhdaPavlovna;1
MarijaPetrovna;MrRorelin;1
Belskij;MrRorelin;1
Avakov;MarijaPetrovna;1
MarijaPetrovna;NadezhdaPavlovna;1
NadezhdaPavlovna;Sluga;1
Avakov;GolosPevtsa;1
Belskij;MarijaPetrovna;1
Avakov;Sluga;1
Belskij;Sluga;1
Belskij;NadezhdaPavlovna;1
MarijaPetrovna;Sluga;1
Belskij;GolosPevtsa;1
GolosPevtsa;NadezhdaPavlovna;1
MrRorelin;NadezhdaPavlovna;1
GolosPevtsa;MrRorelin;1
Avakov;Belskij;1
MrRorelin;Sluga;1
Avakov;MrRorelin;1
GolosPevtsa;MarijaPetrovna;1
GolosPevtsa;Sluga;1
